ht_type,label,k,rep,set_mops,fill,capacity,fill_factor,exit,status,log
3,dramblast,10,1,2189,1048575,2147483648,0.000488,0,ok,dramblast_ht3_k10_r1_20260915-190131.log
3,dramblast,10,2,2210,1048575,2147483648,0.000488,0,ok,dramblast_ht3_k10_r2_20260915-190131.log
3,dramblast,10,3,2200,1048575,2147483648,0.000488,0,ok,dramblast_ht3_k10_r3_20260915-190131.log
3,dramblast,10,4,2208,1048575,2147483648,0.000488,0,ok,dramblast_ht3_k10_r4_20260915-190131.log
3,dramblast,10,5,2215,1048575,2147483648,0.000488,0,ok,dramblast_ht3_k10_r5_20260915-190131.log
3,dramblast,11,1,1730,4194303,2147483648,0.001953,0,ok,dramblast_ht3_k11_r1_20260915-190131.log
3,dramblast,11,2,1564,4194303,2147483648,0.001953,0,ok,dramblast_ht3_k11_r2_20260915-190131.log
3,dramblast,11,3,1740,4194303,2147483648,0.001953,0,ok,dramblast_ht3_k11_r3_20260915-190131.log
3,dramblast,11,4,1580,4194303,2147483648,0.001953,0,ok,dramblast_ht3_k11_r4_20260915-190131.log
3,dramblast,11,5,1738,4194303,2147483648,0.001953,0,ok,dramblast_ht3_k11_r5_20260915-190131.log
3,dramblast,12,1,1511,16777193,2147483648,0.007812,0,ok,dramblast_ht3_k12_r1_20260915-190131.log
3,dramblast,12,2,1503,16777193,2147483648,0.007812,0,ok,dramblast_ht3_k12_r2_20260915-190131.log
3,dramblast,12,3,1509,16777193,2147483648,0.007812,0,ok,dramblast_ht3_k12_r3_20260915-190131.log
3,dramblast,12,4,1505,16777193,2147483648,0.007812,0,ok,dramblast_ht3_k12_r4_20260915-190131.log
3,dramblast,12,5,1509,16777193,2147483648,0.007812,0,ok,dramblast_ht3_k12_r5_20260915-190131.log
3,dramblast,13,1,1524,66795582,2147483648,0.031104,0,ok,dramblast_ht3_k13_r1_20260915-190131.log
3,dramblast,13,2,1689,66795582,2147483648,0.031104,0,ok,dramblast_ht3_k13_r2_20260915-190131.log
3,dramblast,13,3,1527,66795582,2147483648,0.031104,0,ok,dramblast_ht3_k13_r3_20260915-190131.log
3,dramblast,13,4,1695,66795582,2147483648,0.031104,0,ok,dramblast_ht3_k13_r4_20260915-190131.log
3,dramblast,13,5,1525,66795582,2147483648,0.031104,0,ok,dramblast_ht3_k13_r5_20260915-190131.log
3,dramblast,14,1,1646,231473900,2147483648,0.107788,0,ok,dramblast_ht3_k14_r1_20260915-190131.log
3,dramblast,14,2,1661,231473900,2147483648,0.107788,0,ok,dramblast_ht3_k14_r2_20260915-190131.log
3,dramblast,14,3,1643,231473900,2147483648,0.107788,0,ok,dramblast_ht3_k14_r3_20260915-190131.log
3,dramblast,14,4,1673,231473900,2147483648,0.107788,0,ok,dramblast_ht3_k14_r4_20260915-190131.log
3,dramblast,14,5,1646,231473900,2147483648,0.107788,0,ok,dramblast_ht3_k14_r5_20260915-190131.log
3,dramblast,15,1,1533,515915132,2147483648,0.240242,0,ok,dramblast_ht3_k15_r1_20260915-190131.log
3,dramblast,15,2,1625,515915132,2147483648,0.240242,0,ok,dramblast_ht3_k15_r2_20260915-190131.log
3,dramblast,15,3,1530,515915132,2147483648,0.240242,0,ok,dramblast_ht3_k15_r3_20260915-190131.log
3,dramblast,15,4,1617,515915132,2147483648,0.240242,0,ok,dramblast_ht3_k15_r4_20260915-190131.log
3,dramblast,15,5,1531,515915132,2147483648,0.240242,0,ok,dramblast_ht3_k15_r5_20260915-190131.log
3,dramblast,16,1,1505,766033017,2147483648,0.356712,0,ok,dramblast_ht3_k16_r1_20260915-190131.log
3,dramblast,16,2,1532,766033017,2147483648,0.356712,0,ok,dramblast_ht3_k16_r2_20260915-190131.log
3,dramblast,16,3,1509,766033017,2147483648,0.356712,0,ok,dramblast_ht3_k16_r3_20260915-190131.log
3,dramblast,16,4,1530,766033017,2147483648,0.356712,0,ok,dramblast_ht3_k16_r4_20260915-190131.log
3,dramblast,16,5,1508,766033017,2147483648,0.356712,0,ok,dramblast_ht3_k16_r5_20260915-190131.log
3,dramblast,17,1,1530,921085105,2147483648,0.428914,0,ok,dramblast_ht3_k17_r1_20260915-190131.log
3,dramblast,17,2,1534,921085105,2147483648,0.428914,0,ok,dramblast_ht3_k17_r2_20260915-190131.log
3,dramblast,17,3,1535,921085105,2147483648,0.428914,0,ok,dramblast_ht3_k17_r3_20260915-190131.log
3,dramblast,17,4,1541,921085105,2147483648,0.428914,0,ok,dramblast_ht3_k17_r4_20260915-190131.log
3,dramblast,17,5,1533,921085105,2147483648,0.428914,0,ok,dramblast_ht3_k17_r5_20260915-190131.log
3,dramblast,18,1,1524,1012177031,2147483648,0.471332,0,ok,dramblast_ht3_k18_r1_20260915-190131.log
3,dramblast,18,2,1539,1012177031,2147483648,0.471332,0,ok,dramblast_ht3_k18_r2_20260915-190131.log
3,dramblast,18,3,1525,1012177031,2147483648,0.471332,0,ok,dramblast_ht3_k18_r3_20260915-190131.log
3,dramblast,18,4,1540,1012177031,2147483648,0.471332,0,ok,dramblast_ht3_k18_r4_20260915-190131.log
3,dramblast,18,5,1527,1012177031,2147483648,0.471332,0,ok,dramblast_ht3_k18_r5_20260915-190131.log
3,dramblast,19,1,1540,1072562325,2147483648,0.499451,0,ok,dramblast_ht3_k19_r1_20260915-190131.log
3,dramblast,19,2,1517,1072562325,2147483648,0.499451,0,ok,dramblast_ht3_k19_r2_20260915-190131.log
3,dramblast,19,3,1543,1072562325,2147483648,0.499451,0,ok,dramblast_ht3_k19_r3_20260915-190131.log
3,dramblast,19,4,1522,1072562325,2147483648,0.499451,0,ok,dramblast_ht3_k19_r4_20260915-190131.log
3,dramblast,19,5,1545,1072562325,2147483648,0.499451,0,ok,dramblast_ht3_k19_r5_20260915-190131.log
3,dramblast,20,1,1544,1119887688,2147483648,0.521488,0,ok,dramblast_ht3_k20_r1_20260915-190131.log
3,dramblast,20,2,1547,1119887688,2147483648,0.521488,0,ok,dramblast_ht3_k20_r2_20260915-190131.log
