arm,order,rep,hwpref,msr_0x1a4,set_mops
interleaved,alternating,1,off,0xf,1859
interleaved,alternating,1,on,0x0,2426
interleaved,alternating,2,off,0xf,1519
interleaved,alternating,2,on,0x0,2355
interleaved,alternating,3,off,0xf,1882
interleaved,alternating,3,on,0x0,2338
interleaved,alternating,4,off,0xf,1670
interleaved,alternating,4,on,0x0,2431
interleaved,alternating,5,off,0xf,1731
interleaved,alternating,5,on,0x0,2446
interleaved,alternating,6,off,0xf,1847
interleaved,alternating,6,on,0x0,2388
blocked,consecutive,1,off,0xf,1893
blocked,consecutive,2,off,0xf,1891
blocked,consecutive,3,off,0xf,1893
blocked,consecutive,4,off,0xf,1895
blocked,consecutive,5,off,0xf,1875
blocked,consecutive,1,on,0x0,2434
blocked,consecutive,2,on,0x0,2436
blocked,consecutive,3,on,0x0,2412
blocked,consecutive,4,on,0x0,2304
blocked,consecutive,5,on,0x0,2400
