ht_type,label,k,rep,set_mops,fill,capacity,fill_factor,exit,status,log
3,dramblast,10,1,1816,1048575,2147483648,0.000488,0,ok,dramblast_ht3_k10_r1_20260918-215435.log
3,dramblast,10,2,1936,1048575,2147483648,0.000488,0,ok,dramblast_ht3_k10_r2_20260918-215435.log
3,dramblast,10,3,1816,1048575,2147483648,0.000488,0,ok,dramblast_ht3_k10_r3_20260918-215435.log
3,dramblast,10,4,1977,1048575,2147483648,0.000488,0,ok,dramblast_ht3_k10_r4_20260918-215435.log
3,dramblast,10,5,1818,1048575,2147483648,0.000488,0,ok,dramblast_ht3_k10_r5_20260918-215435.log
3,dramblast,11,1,1896,4194303,2147483648,0.001953,0,ok,dramblast_ht3_k11_r1_20260918-215435.log
3,dramblast,11,2,1760,4194303,2147483648,0.001953,0,ok,dramblast_ht3_k11_r2_20260918-215435.log
3,dramblast,11,3,1895,4194303,2147483648,0.001953,0,ok,dramblast_ht3_k11_r3_20260918-215435.log
3,dramblast,11,4,1762,4194303,2147483648,0.001953,0,ok,dramblast_ht3_k11_r4_20260918-215435.log
3,dramblast,11,5,1895,4194303,2147483648,0.001953,0,ok,dramblast_ht3_k11_r5_20260918-215435.log
3,dramblast,12,1,1733,16777193,2147483648,0.007812,0,ok,dramblast_ht3_k12_r1_20260918-215435.log
3,dramblast,12,2,1955,16777193,2147483648,0.007812,0,ok,dramblast_ht3_k12_r2_20260918-215435.log
3,dramblast,12,3,1733,16777193,2147483648,0.007812,0,ok,dramblast_ht3_k12_r3_20260918-215435.log
3,dramblast,12,4,1957,16777193,2147483648,0.007812,0,ok,dramblast_ht3_k12_r4_20260918-215435.log
3,dramblast,12,5,1734,16777193,2147483648,0.007812,0,ok,dramblast_ht3_k12_r5_20260918-215435.log
3,dramblast,13,1,1787,66795582,2147483648,0.031104,0,ok,dramblast_ht3_k13_r1_20260918-215435.log
3,dramblast,13,2,1910,66795582,2147483648,0.031104,0,ok,dramblast_ht3_k13_r2_20260918-215435.log
3,dramblast,13,3,1786,66795582,2147483648,0.031104,0,ok,dramblast_ht3_k13_r3_20260918-215435.log
3,dramblast,13,4,1910,66795582,2147483648,0.031104,0,ok,dramblast_ht3_k13_r4_20260918-215435.log
