ht_type,label,k,rep,set_mops,fill,capacity,fill_factor,exit,status,log
3,dramblast,10,1,1809,1048575,2147483648,0.000488,0,ok,dramblast_ht3_k10_r1_20260920-142953.log
3,dramblast,10,2,1950,1048575,2147483648,0.000488,0,ok,dramblast_ht3_k10_r2_20260920-142953.log
3,dramblast,10,3,1809,1048575,2147483648,0.000488,0,ok,dramblast_ht3_k10_r3_20260920-142953.log
3,dramblast,10,4,1972,1048575,2147483648,0.000488,0,ok,dramblast_ht3_k10_r4_20260920-142953.log
3,dramblast,10,5,1810,1048575,2147483648,0.000488,0,ok,dramblast_ht3_k10_r5_20260920-142953.log
3,dramblast,11,1,1863,4194303,2147483648,0.001953,0,ok,dramblast_ht3_k11_r1_20260920-142953.log
3,dramblast,11,2,1753,4194303,2147483648,0.001953,0,ok,dramblast_ht3_k11_r2_20260920-142953.log
3,dramblast,11,3,1865,4194303,2147483648,0.001953,0,ok,dramblast_ht3_k11_r3_20260920-142953.log
3,dramblast,11,4,1756,4194303,2147483648,0.001953,0,ok,dramblast_ht3_k11_r4_20260920-142953.log
3,dramblast,11,5,1866,4194303,2147483648,0.001953,0,ok,dramblast_ht3_k11_r5_20260920-142953.log
3,dramblast,12,1,1729,16777193,2147483648,0.007812,0,ok,dramblast_ht3_k12_r1_20260920-142953.log
3,dramblast,12,2,1960,16777193,2147483648,0.007812,0,ok,dramblast_ht3_k12_r2_20260920-142953.log
3,dramblast,12,3,1729,16777193,2147483648,0.007812,0,ok,dramblast_ht3_k12_r3_20260920-142953.log
3,dramblast,12,4,1960,16777193,2147483648,0.007812,0,ok,dramblast_ht3_k12_r4_20260920-142953.log
3,dramblast,12,5,1730,16777193,2147483648,0.007812,0,ok,dramblast_ht3_k12_r5_20260920-142953.log
3,dramblast,13,1,1789,66795582,2147483648,0.031104,0,ok,dramblast_ht3_k13_r1_20260920-142953.log
3,dramblast,13,2,1919,66795582,2147483648,0.031104,0,ok,dramblast_ht3_k13_r2_20260920-142953.log
3,dramblast,13,3,1792,66795582,2147483648,0.031104,0,ok,dramblast_ht3_k13_r3_20260920-142953.log
3,dramblast,13,4,1918,66795582,2147483648,0.031104,0,ok,dramblast_ht3_k13_r4_20260920-142953.log
3,dramblast,13,5,1789,66795582,2147483648,0.031104,0,ok,dramblast_ht3_k13_r5_20260920-142953.log
3,dramblast,14,1,1782,231473900,2147483648,0.107788,0,ok,dramblast_ht3_k14_r1_20260920-142953.log
3,dramblast,14,2,1593,231473900,2147483648,0.107788,0,ok,dramblast_ht3_k14_r2_20260920-142953.log
3,dramblast,14,3,1782,231473900,2147483648,0.107788,0,ok,dramblast_ht3_k14_r3_20260920-142953.log
3,dramblast,14,4,1592,231473900,2147483648,0.107788,0,ok,dramblast_ht3_k14_r4_20260920-142953.log
3,dramblast,14,5,1781,231473900,2147483648,0.107788,0,ok,dramblast_ht3_k14_r5_20260920-142953.log
3,dramblast,15,1,1690,515915132,2147483648,0.240242,0,ok,dramblast_ht3_k15_r1_20260920-142953.log
3,dramblast,15,2,1939,515915132,2147483648,0.240242,0,ok,dramblast_ht3_k15_r2_20260920-142953.log
3,dramblast,15,3,1689,515915132,2147483648,0.240242,0,ok,dramblast_ht3_k15_r3_20260920-142953.log
3,dramblast,15,4,1939,515915132,2147483648,0.240242,0,ok,dramblast_ht3_k15_r4_20260920-142953.log
3,dramblast,15,5,1689,515915132,2147483648,0.240242,0,ok,dramblast_ht3_k15_r5_20260920-142953.log
3,dramblast,16,1,1957,766033017,2147483648,0.356712,0,ok,dramblast_ht3_k16_r1_20260920-142953.log
3,dramblast,16,2,1938,766033017,2147483648,0.356712,0,ok,dramblast_ht3_k16_r2_20260920-142953.log
3,dramblast,16,3,1958,766033017,2147483648,0.356712,0,ok,dramblast_ht3_k16_r3_20260920-142953.log
3,dramblast,16,4,1938,766033017,2147483648,0.356712,0,ok,dramblast_ht3_k16_r4_20260920-142953.log
3,dramblast,16,5,1957,766033017,2147483648,0.356712,0,ok,dramblast_ht3_k16_r5_20260920-142953.log
3,dramblast,17,1,1959,921085105,2147483648,0.428914,0,ok,dramblast_ht3_k17_r1_20260920-142953.log
3,dramblast,17,2,1976,921085105,2147483648,0.428914,0,ok,dramblast_ht3_k17_r2_20260920-142953.log
3,dramblast,17,3,1960,921085105,2147483648,0.428914,0,ok,dramblast_ht3_k17_r3_20260920-142953.log
3,dramblast,17,4,1975,921085105,2147483648,0.428914,0,ok,dramblast_ht3_k17_r4_20260920-142953.log
3,dramblast,17,5,1960,921085105,2147483648,0.428914,0,ok,dramblast_ht3_k17_r5_20260920-142953.log
3,dramblast,18,1,2003,1012177031,2147483648,0.471332,0,ok,dramblast_ht3_k18_r1_20260920-142953.log
3,dramblast,18,2,1972,1012177031,2147483648,0.471332,0,ok,dramblast_ht3_k18_r2_20260920-142953.log
3,dramblast,18,3,2002,1012177031,2147483648,0.471332,0,ok,dramblast_ht3_k18_r3_20260920-142953.log
3,dramblast,18,4,1973,1012177031,2147483648,0.471332,0,ok,dramblast_ht3_k18_r4_20260920-142953.log
3,dramblast,18,5,2002,1012177031,2147483648,0.471332,0,ok,dramblast_ht3_k18_r5_20260920-142953.log
3,dramblast,19,1,1820,1072562325,2147483648,0.499451,0,ok,dramblast_ht3_k19_r1_20260920-142953.log
3,dramblast,19,2,1997,1072562325,2147483648,0.499451,0,ok,dramblast_ht3_k19_r2_20260920-142953.log
3,dramblast,19,3,1822,1072562325,2147483648,0.499451,0,ok,dramblast_ht3_k19_r3_20260920-142953.log
3,dramblast,19,4,1996,1072562325,2147483648,0.499451,0,ok,dramblast_ht3_k19_r4_20260920-142953.log
3,dramblast,19,5,1819,1072562325,2147483648,0.499451,0,ok,dramblast_ht3_k19_r5_20260920-142953.log
