ht_type,label,k,rep,set_mops,fill,capacity,fill_factor,exit,status,log
3,dramblast,10,1,1722,1048575,2147483648,0.000488,0,ok,dramblast_ht3_k10_r1_20260914-184524.log
3,dramblast,10,2,1798,1048575,2147483648,0.000488,0,ok,dramblast_ht3_k10_r2_20260914-184524.log
3,dramblast,10,3,1722,1048575,2147483648,0.000488,0,ok,dramblast_ht3_k10_r3_20260914-184524.log
3,dramblast,10,4,1805,1048575,2147483648,0.000488,0,ok,dramblast_ht3_k10_r4_20260914-184524.log
3,dramblast,10,5,1721,1048575,2147483648,0.000488,0,ok,dramblast_ht3_k10_r5_20260914-184524.log
3,dramblast,11,1,1736,4194303,2147483648,0.001953,0,ok,dramblast_ht3_k11_r1_20260914-184524.log
3,dramblast,11,2,1706,4194303,2147483648,0.001953,0,ok,dramblast_ht3_k11_r2_20260914-184524.log
3,dramblast,11,3,1736,4194303,2147483648,0.001953,0,ok,dramblast_ht3_k11_r3_20260914-184524.log
3,dramblast,11,4,1706,4194303,2147483648,0.001953,0,ok,dramblast_ht3_k11_r4_20260914-184524.log
3,dramblast,11,5,1737,4194303,2147483648,0.001953,0,ok,dramblast_ht3_k11_r5_20260914-184524.log
3,dramblast,12,1,1647,16777193,2147483648,0.007812,0,ok,dramblast_ht3_k12_r1_20260914-184524.log
3,dramblast,12,2,1865,16777193,2147483648,0.007812,0,ok,dramblast_ht3_k12_r2_20260914-184524.log
3,dramblast,12,3,1648,16777193,2147483648,0.007812,0,ok,dramblast_ht3_k12_r3_20260914-184524.log
3,dramblast,12,4,1864,16777193,2147483648,0.007812,0,ok,dramblast_ht3_k12_r4_20260914-184524.log
3,dramblast,12,5,1647,16777193,2147483648,0.007812,0,ok,dramblast_ht3_k12_r5_20260914-184524.log
3,dramblast,13,1,1571,66795582,2147483648,0.031104,0,ok,dramblast_ht3_k13_r1_20260914-184524.log
3,dramblast,13,2,1802,66795582,2147483648,0.031104,0,ok,dramblast_ht3_k13_r2_20260914-184524.log
3,dramblast,13,3,1571,66795582,2147483648,0.031104,0,ok,dramblast_ht3_k13_r3_20260914-184524.log
3,dramblast,13,4,1801,66795582,2147483648,0.031104,0,ok,dramblast_ht3_k13_r4_20260914-184524.log
3,dramblast,13,5,1570,66795582,2147483648,0.031104,0,ok,dramblast_ht3_k13_r5_20260914-184524.log
3,dramblast,14,1,1777,231473900,2147483648,0.107788,0,ok,dramblast_ht3_k14_r1_20260914-184524.log
3,dramblast,14,2,1671,231473900,2147483648,0.107788,0,ok,dramblast_ht3_k14_r2_20260914-184524.log
3,dramblast,14,3,1777,231473900,2147483648,0.107788,0,ok,dramblast_ht3_k14_r3_20260914-184524.log
3,dramblast,14,4,1669,231473900,2147483648,0.107788,0,ok,dramblast_ht3_k14_r4_20260914-184524.log
3,dramblast,14,5,1777,231473900,2147483648,0.107788,0,ok,dramblast_ht3_k14_r5_20260914-184524.log
3,dramblast,15,1,1808,515915132,2147483648,0.240242,0,ok,dramblast_ht3_k15_r1_20260914-184524.log
3,dramblast,15,2,1851,515915132,2147483648,0.240242,0,ok,dramblast_ht3_k15_r2_20260914-184524.log
3,dramblast,15,3,1808,515915132,2147483648,0.240242,0,ok,dramblast_ht3_k15_r3_20260914-184524.log
3,dramblast,15,4,1851,515915132,2147483648,0.240242,0,ok,dramblast_ht3_k15_r4_20260914-184524.log
3,dramblast,15,5,1809,515915132,2147483648,0.240242,0,ok,dramblast_ht3_k15_r5_20260914-184524.log
3,dramblast,16,1,1684,766033017,2147483648,0.356712,0,ok,dramblast_ht3_k16_r1_20260914-184524.log
3,dramblast,16,2,1836,766033017,2147483648,0.356712,0,ok,dramblast_ht3_k16_r2_20260914-184524.log
3,dramblast,16,3,1684,766033017,2147483648,0.356712,0,ok,dramblast_ht3_k16_r3_20260914-184524.log
3,dramblast,16,4,1838,766033017,2147483648,0.356712,0,ok,dramblast_ht3_k16_r4_20260914-184524.log
3,dramblast,16,5,1685,766033017,2147483648,0.356712,0,ok,dramblast_ht3_k16_r5_20260914-184524.log
3,dramblast,17,1,1865,921085105,2147483648,0.428914,0,ok,dramblast_ht3_k17_r1_20260914-184524.log
3,dramblast,17,2,1699,921085105,2147483648,0.428914,0,ok,dramblast_ht3_k17_r2_20260914-184524.log
3,dramblast,17,3,1865,921085105,2147483648,0.428914,0,ok,dramblast_ht3_k17_r3_20260914-184524.log
3,dramblast,17,4,1699,921085105,2147483648,0.428914,0,ok,dramblast_ht3_k17_r4_20260914-184524.log
3,dramblast,17,5,1865,921085105,2147483648,0.428914,0,ok,dramblast_ht3_k17_r5_20260914-184524.log
3,dramblast,18,1,1580,1012177031,2147483648,0.471332,0,ok,dramblast_ht3_k18_r1_20260914-184524.log
3,dramblast,18,2,1839,1012177031,2147483648,0.471332,0,ok,dramblast_ht3_k18_r2_20260914-184524.log
3,dramblast,18,3,1579,1012177031,2147483648,0.471332,0,ok,dramblast_ht3_k18_r3_20260914-184524.log
3,dramblast,18,4,1840,1012177031,2147483648,0.471332,0,ok,dramblast_ht3_k18_r4_20260914-184524.log
3,dramblast,18,5,1580,1012177031,2147483648,0.471332,0,ok,dramblast_ht3_k18_r5_20260914-184524.log
3,dramblast,19,1,1846,1072562325,2147483648,0.499451,0,ok,dramblast_ht3_k19_r1_20260914-184524.log
3,dramblast,19,2,1686,1072562325,2147483648,0.499451,0,ok,dramblast_ht3_k19_r2_20260914-184524.log
3,dramblast,19,3,1845,1072562325,2147483648,0.499451,0,ok,dramblast_ht3_k19_r3_20260914-184524.log
3,dramblast,19,4,1684,1072562325,2147483648,0.499451,0,ok,dramblast_ht3_k19_r4_20260914-184524.log
3,dramblast,19,5,1845,1072562325,2147483648,0.499451,0,ok,dramblast_ht3_k19_r5_20260914-184524.log
3,dramblast,20,1,1724,1119887688,2147483648,0.521488,0,ok,dramblast_ht3_k20_r1_20260914-184524.log
3,dramblast,20,2,1861,1119887688,2147483648,0.521488,0,ok,dramblast_ht3_k20_r2_20260914-184524.log
3,dramblast,20,3,1724,1119887688,2147483648,0.521488,0,ok,dramblast_ht3_k20_r3_20260914-184524.log
3,dramblast,20,4,1861,1119887688,2147483648,0.521488,0,ok,dramblast_ht3_k20_r4_20260914-184524.log
3,dramblast,20,5,1723,1119887688,2147483648,0.521488,0,ok,dramblast_ht3_k20_r5_20260914-184524.log
3,dramblast,21,1,1852,1161736784,2147483648,0.540976,0,ok,dramblast_ht3_k21_r1_20260914-184524.log
3,dramblast,21,2,1627,1161736784,2147483648,0.540976,0,ok,dramblast_ht3_k21_r2_20260914-184524.log
3,dramblast,21,3,1851,1161736784,2147483648,0.540976,0,ok,dramblast_ht3_k21_r3_20260914-184524.log
3,dramblast,21,4,1628,1161736784,2147483648,0.540976,0,ok,dramblast_ht3_k21_r4_20260914-184524.log
3,dramblast,21,5,1852,1161736784,2147483648,0.540976,0,ok,dramblast_ht3_k21_r5_20260914-184524.log
3,dramblast,22,1,1776,1201060325,2147483648,0.559287,0,ok,dramblast_ht3_k22_r1_20260914-184524.log
3,dramblast,22,2,1915,1201060325,2147483648,0.559287,0,ok,dramblast_ht3_k22_r2_20260914-184524.log
3,dramblast,22,3,1772,1201060325,2147483648,0.559287,0,ok,dramblast_ht3_k22_r3_20260914-184524.log
3,dramblast,22,4,1912,1201060325,2147483648,0.559287,0,ok,dramblast_ht3_k22_r4_20260914-184524.log
3,dramblast,22,5,1773,1201060325,2147483648,0.559287,0,ok,dramblast_ht3_k22_r5_20260914-184524.log
3,dramblast,23,1,1870,1239041403,2147483648,0.576974,0,ok,dramblast_ht3_k23_r1_20260914-184524.log
3,dramblast,23,2,1901,1239041403,2147483648,0.576974,0,ok,dramblast_ht3_k23_r2_20260914-184524.log
3,dramblast,23,3,1871,1239041403,2147483648,0.576974,0,ok,dramblast_ht3_k23_r3_20260914-184524.log
3,dramblast,23,4,1900,1239041403,2147483648,0.576974,0,ok,dramblast_ht3_k23_r4_20260914-184524.log
3,dramblast,23,5,1870,1239041403,2147483648,0.576974,0,ok,dramblast_ht3_k23_r5_20260914-184524.log
3,dramblast,24,1,1903,1276170020,2147483648,0.594263,0,ok,dramblast_ht3_k24_r1_20260914-184524.log
3,dramblast,24,2,1909,1276170020,2147483648,0.594263,0,ok,dramblast_ht3_k24_r2_20260914-184524.log
3,dramblast,24,3,1903,1276170020,2147483648,0.594263,0,ok,dramblast_ht3_k24_r3_20260914-184524.log
3,dramblast,24,4,1910,1276170020,2147483648,0.594263,0,ok,dramblast_ht3_k24_r4_20260914-184524.log
3,dramblast,24,5,1904,1276170020,2147483648,0.594263,0,ok,dramblast_ht3_k24_r5_20260914-184524.log
3,dramblast,25,1,1906,1312661553,2147483648,0.611256,0,ok,dramblast_ht3_k25_r1_20260914-184524.log
3,dramblast,25,2,1890,1312661553,2147483648,0.611256,0,ok,dramblast_ht3_k25_r2_20260914-184524.log
3,dramblast,25,3,1903,1312661553,2147483648,0.611256,0,ok,dramblast_ht3_k25_r3_20260914-184524.log
3,dramblast,25,4,1890,1312661553,2147483648,0.611256,0,ok,dramblast_ht3_k25_r4_20260914-184524.log
3,dramblast,25,5,1905,1312661553,2147483648,0.611256,0,ok,dramblast_ht3_k25_r5_20260914-184524.log
3,dramblast,26,1,1924,1348653266,2147483648,0.628016,0,ok,dramblast_ht3_k26_r1_20260914-184524.log
3,dramblast,26,2,1803,1348653266,2147483648,0.628016,0,ok,dramblast_ht3_k26_r2_20260914-184524.log
3,dramblast,26,3,1925,1348653266,2147483648,0.628016,0,ok,dramblast_ht3_k26_r3_20260914-184524.log
3,dramblast,26,4,1804,1348653266,2147483648,0.628016,0,ok,dramblast_ht3_k26_r4_20260914-184524.log
3,dramblast,26,5,1909,1348653266,2147483648,0.628016,0,ok,dramblast_ht3_k26_r5_20260914-184524.log
3,dramblast,27,1,1784,1384192355,2147483648,0.644565,0,ok,dramblast_ht3_k27_r1_20260914-184524.log
3,dramblast,27,2,1915,1384192355,2147483648,0.644565,0,ok,dramblast_ht3_k27_r2_20260914-184524.log
3,dramblast,27,3,1785,1384192355,2147483648,0.644565,0,ok,dramblast_ht3_k27_r3_20260914-184524.log
3,dramblast,27,4,1917,1384192355,2147483648,0.644565,0,ok,dramblast_ht3_k27_r4_20260914-184524.log
3,dramblast,27,5,1785,1384192355,2147483648,0.644565,0,ok,dramblast_ht3_k27_r5_20260914-184524.log
3,dramblast,28,1,1786,1419320396,2147483648,0.660923,0,ok,dramblast_ht3_k28_r1_20260914-184524.log
3,dramblast,28,2,1922,1419320396,2147483648,0.660923,0,ok,dramblast_ht3_k28_r2_20260914-184524.log
3,dramblast,28,3,1785,1419320396,2147483648,0.660923,0,ok,dramblast_ht3_k28_r3_20260914-184524.log
3,dramblast,28,4,1922,1419320396,2147483648,0.660923,0,ok,dramblast_ht3_k28_r4_20260914-184524.log
3,dramblast,28,5,1785,1419320396,2147483648,0.660923,0,ok,dramblast_ht3_k28_r5_20260914-184524.log
3,dramblast,29,1,1908,1454075972,2147483648,0.677107,0,ok,dramblast_ht3_k29_r1_20260914-184524.log
3,dramblast,29,2,1766,1454075972,2147483648,0.677107,0,ok,dramblast_ht3_k29_r2_20260914-184524.log
3,dramblast,29,3,1908,1454075972,2147483648,0.677107,0,ok,dramblast_ht3_k29_r3_20260914-184524.log
3,dramblast,29,4,1764,1454075972,2147483648,0.677107,0,ok,dramblast_ht3_k29_r4_20260914-184524.log
3,dramblast,29,5,1907,1454075972,2147483648,0.677107,0,ok,dramblast_ht3_k29_r5_20260914-184524.log
3,dramblast,30,1,1909,1488477239,2147483648,0.693126,0,ok,dramblast_ht3_k30_r1_20260914-184524.log
3,dramblast,30,2,1727,1488477239,2147483648,0.693126,0,ok,dramblast_ht3_k30_r2_20260914-184524.log
3,dramblast,30,3,1911,1488477239,2147483648,0.693126,0,ok,dramblast_ht3_k30_r3_20260914-184524.log
3,dramblast,30,4,1728,1488477239,2147483648,0.693126,0,ok,dramblast_ht3_k30_r4_20260914-184524.log
3,dramblast,30,5,1911,1488477239,2147483648,0.693126,0,ok,dramblast_ht3_k30_r5_20260914-184524.log
3,dramblast,31,1,1773,1522525464,2147483648,0.708981,0,ok,dramblast_ht3_k31_r1_20260914-184524.log
3,dramblast,31,2,1935,1522525464,2147483648,0.708981,0,ok,dramblast_ht3_k31_r2_20260914-184524.log
3,dramblast,31,3,1774,1522525464,2147483648,0.708981,0,ok,dramblast_ht3_k31_r3_20260914-184524.log
3,dramblast,31,4,1936,1522525464,2147483648,0.708981,0,ok,dramblast_ht3_k31_r4_20260914-184524.log
3,dramblast,31,5,1774,1522525464,2147483648,0.708981,0,ok,dramblast_ht3_k31_r5_20260914-184524.log
3,dramblast,32,1,1813,1556257953,2147483648,0.724689,0,ok,dramblast_ht3_k32_r1_20260914-184524.log
3,dramblast,32,2,1808,1556257953,2147483648,0.724689,0,ok,dramblast_ht3_k32_r2_20260914-184524.log
3,dramblast,32,3,1813,1556257953,2147483648,0.724689,0,ok,dramblast_ht3_k32_r3_20260914-184524.log
3,dramblast,32,4,1807,1556257953,2147483648,0.724689,0,ok,dramblast_ht3_k32_r4_20260914-184524.log
3,dramblast,32,5,1814,1556257953,2147483648,0.724689,0,ok,dramblast_ht3_k32_r5_20260914-184524.log
8,dramhit,10,1,1364,1048575,2147483648,0.000488,0,ok,dramhit_ht8_k10_r1_20260914-184524.log
8,dramhit,10,2,1366,1048575,2147483648,0.000488,0,ok,dramhit_ht8_k10_r2_20260914-184524.log
8,dramhit,10,3,1367,1048575,2147483648,0.000488,0,ok,dramhit_ht8_k10_r3_20260914-184524.log
