ht_type,label,k,repeats,set_mops_mean,set_mops_min,set_mops_max,set_mops_stdev,fill_pct
3,dramblast,10,5,2204.4,2189,2215,10.2,0.05
3,dramblast,11,5,1670.4,1564,1740,90.1,0.20
3,dramblast,12,5,1507.4,1503,1511,3.3,0.78
3,dramblast,13,5,1592.0,1524,1695,91.3,3.11
3,dramblast,14,5,1653.8,1643,1673,12.8,10.78
3,dramblast,15,5,1567.2,1530,1625,49.2,24.02
3,dramblast,16,5,1516.8,1505,1532,13.1,35.67
3,dramblast,17,5,1534.6,1530,1541,4.0,42.89
3,dramblast,18,5,1531.0,1524,1540,7.8,47.13
3,dramblast,19,5,1533.4,1517,1545,12.9,49.95
3,dramblast,20,5,1545.2,1540,1549,3.4,52.15
3,dramblast,21,5,1546.0,1541,1549,3.0,54.10
3,dramblast,22,5,1546.2,1543,1550,2.6,55.93
3,dramblast,23,5,1546.6,1541,1550,3.4,57.70
3,dramblast,24,5,1514.0,1510,1518,3.4,59.43
3,dramblast,25,5,1513.4,1510,1520,4.1,61.13
3,dramblast,26,5,1545.8,1542,1551,3.4,62.80
3,dramblast,27,5,1524.4,1507,1548,19.9,64.46
3,dramblast,28,5,1531.4,1508,1548,19.7,66.09
3,dramblast,29,5,1549.6,1542,1558,6.3,67.71
3,dramblast,30,5,1540.6,1538,1545,3.2,69.31
3,dramblast,31,5,1523.8,1513,1530,6.5,70.90
3,dramblast,32,5,1541.8,1539,1548,4.1,72.47
8,dramhit,10,5,1500.8,1499,1502,1.3,0.05
8,dramhit,11,5,1542.0,1538,1543,2.2,0.20
8,dramhit,12,5,1539.8,1537,1543,2.3,0.78
8,dramhit,13,5,1561.4,1559,1565,2.5,3.11
8,dramhit,14,5,1572.6,1568,1580,4.5,10.78
8,dramhit,15,5,1587.2,1580,1592,4.4,24.02
8,dramhit,16,5,1600.2,1597,1604,2.6,35.67
8,dramhit,17,5,1593.0,1581,1602,8.4,42.89
8,dramhit,18,5,1591.8,1563,1603,16.4,47.13
8,dramhit,19,5,1592.8,1558,1605,20.1,49.95
8,dramhit,20,5,1603.6,1600,1607,3.0,52.15
8,dramhit,21,5,1594.8,1568,1605,15.3,54.10
8,dramhit,22,5,1605.8,1600,1612,5.5,55.93
8,dramhit,23,5,1602.8,1597,1608,5.1,57.70
8,dramhit,24,5,1606.0,1600,1613,5.2,59.43
8,dramhit,25,5,1607.4,1604,1610,2.7,61.13
8,dramhit,26,5,1593.8,1587,1599,5.8,62.80
8,dramhit,27,5,1581.6,1532,1599,28.2,64.46
8,dramhit,28,5,1590.6,1581,1601,8.3,66.09
8,dramhit,29,5,1574.2,1539,1585,20.0,67.71
8,dramhit,30,5,1576.2,1571,1582,4.1,69.31
8,dramhit,31,5,1571.2,1565,1575,3.9,70.90
8,dramhit,32,5,1558.0,1551,1565,6.3,72.47
1,dramhit-p,10,5,1369.6,1143,1432,126.9,0.05
1,dramhit-p,11,5,1413.4,1404,1421,7.1,0.20
1,dramhit-p,12,5,1317.6,1310,1327,6.7,0.78
1,dramhit-p,13,5,1244.2,1234,1257,9.3,3.11
1,dramhit-p,14,5,1196.6,1189,1212,9.1,10.78
1,dramhit-p,15,5,1177.2,1171,1181,4.8,24.02
1,dramhit-p,16,5,1140.6,1135,1145,3.8,35.67
