ht_type,label,k,repeats,set_mops_mean,set_mops_min,set_mops_max,set_mops_stdev,fill_pct
3,dramblast,10,5,1870.0,1809,1972,83.4,0.05
3,dramblast,11,5,1820.6,1753,1866,60.4,0.20
3,dramblast,12,5,1821.6,1729,1960,126.3,0.78
3,dramblast,13,5,1841.4,1789,1919,70.4,3.11
3,dramblast,14,5,1706.0,1592,1782,103.6,10.78
3,dramblast,15,5,1789.2,1689,1939,136.7,24.02
3,dramblast,16,5,1949.6,1938,1958,10.6,35.67
3,dramblast,17,5,1966.0,1959,1976,8.7,42.89
3,dramblast,18,5,1990.4,1972,2003,16.3,47.13
3,dramblast,19,5,1890.8,1819,1997,96.5,49.95
3,dramblast,20,5,1796.2,1789,1803,7.0,52.15
3,dramblast,21,5,1999.0,1984,2022,19.7,54.10
3,dramblast,22,5,2006.6,2002,2010,3.4,55.93
3,dramblast,23,5,1994.4,1993,1997,1.7,57.70
3,dramblast,24,5,2012.2,1979,2036,29.9,59.43
3,dramblast,25,5,2018.6,1994,2053,31.0,61.13
3,dramblast,26,5,2027.0,2011,2038,14.2,62.80
3,dramblast,27,5,1857.8,1848,1868,8.9,64.46
3,dramblast,28,5,1946.2,1865,2067,110.3,66.09
3,dramblast,29,5,2066.0,2045,2081,19.2,67.71
3,dramblast,30,5,2094.6,2082,2103,11.1,69.31
3,dramblast,31,5,2107.0,2102,2112,4.3,70.90
3,dramblast,32,5,2123.6,2112,2133,10.2,72.47
8,dramhit,10,5,1345.6,1286,1386,54.4,0.05
8,dramhit,11,5,1318.0,1274,1384,59.8,0.20
8,dramhit,12,5,1337.8,1257,1392,73.3,0.78
8,dramhit,13,5,1338.4,1247,1401,82.5,3.11
8,dramhit,14,5,1202.0,1146,1285,75.3,10.78
8,dramhit,15,5,1341.2,1207,1430,121.1,24.02
8,dramhit,16,5,1399.8,1399,1402,1.3,35.67
8,dramhit,17,5,1406.4,1401,1412,4.8,42.89
8,dramhit,18,5,1408.6,1402,1421,8.8,47.13
8,dramhit,19,5,1353.0,1262,1414,82.6,49.95
8,dramhit,20,5,1263.4,1252,1278,12.5,52.15
8,dramhit,21,5,1428.0,1416,1439,10.6,54.10
8,dramhit,22,5,1432.0,1426,1441,6.0,55.93
8,dramhit,23,5,1436.8,1434,1439,1.9,57.70
8,dramhit,24,5,1441.6,1432,1450,8.2,59.43
8,dramhit,25,5,1440.6,1407,1463,28.0,61.13
8,dramhit,26,5,1458.0,1440,1483,22.4,62.80
8,dramhit,27,5,1308.6,1299,1314,7.5,64.46
8,dramhit,28,5,1404.0,1299,1477,95.9,66.09
