ht_type,label,k,set_mops_on,set_mops_off,ratio_on_over_off,pct_change
3,dramblast,10,1870.0,1872.6,0.9986,-0.1
3,dramblast,11,1820.6,1841.6,0.9886,-1.1
3,dramblast,12,1821.6,1822.4,0.9996,-0.0
3,dramblast,13,1841.4,1835.6,1.0032,+0.3
3,dramblast,14,1706.0,1702.4,1.0021,+0.2
3,dramblast,15,1789.2,1782.4,1.0038,+0.4
3,dramblast,16,1949.6,1939.2,1.0054,+0.5
3,dramblast,17,1966.0,1954.4,1.0059,+0.6
3,dramblast,18,1990.4,1978.4,1.0061,+0.6
3,dramblast,19,1890.8,1884.2,1.0035,+0.4
3,dramblast,20,1796.2,1792.2,1.0022,+0.2
3,dramblast,21,1999.0,1987.8,1.0056,+0.6
3,dramblast,22,2006.6,1996.2,1.0052,+0.5
3,dramblast,23,1994.4,1984.0,1.0052,+0.5
3,dramblast,24,2012.2,2000.0,1.0061,+0.6
3,dramblast,25,2018.6,2007.8,1.0054,+0.5
3,dramblast,26,2027.0,2012.2,1.0074,+0.7
3,dramblast,27,1857.8,1853.0,1.0026,+0.3
3,dramblast,28,1946.2,1937.6,1.0044,+0.4
3,dramblast,29,2066.0,2054.4,1.0056,+0.6
3,dramblast,30,2094.6,2079.8,1.0071,+0.7
3,dramblast,31,2107.0,2092.0,1.0072,+0.7
3,dramblast,32,2123.6,2101.8,1.0104,+1.0
8,dramhit,10,1345.6,1379.2,0.9756,-2.4
8,dramhit,11,1318.0,1356.0,0.9720,-2.8
8,dramhit,12,1337.8,1381.0,0.9687,-3.1
8,dramhit,13,1338.4,1377.4,0.9717,-2.8
8,dramhit,14,1202.0,1232.2,0.9755,-2.5
8,dramhit,15,1341.2,1376.0,0.9747,-2.5
8,dramhit,16,1399.8,1442.0,0.9707,-2.9
8,dramhit,17,1406.4,1447.8,0.9714,-2.9
8,dramhit,18,1408.6,1449.2,0.9720,-2.8
8,dramhit,19,1353.0,1394.6,0.9702,-3.0
8,dramhit,20,1263.4,1305.2,0.9680,-3.2
8,dramhit,21,1428.0,1471.4,0.9705,-2.9
8,dramhit,22,1432.0,1472.8,0.9723,-2.8
8,dramhit,23,1436.8,1479.0,0.9715,-2.9
8,dramhit,24,1441.6,1484.4,0.9712,-2.9
8,dramhit,25,1440.6,1491.8,0.9657,-3.4
8,dramhit,26,1458.0,1503.0,0.9701,-3.0
8,dramhit,27,1308.6,1355.2,0.9656,-3.4
8,dramhit,28,1404.0,1451.6,0.9672,-3.3
8,dramhit,29,1457.0,1503.6,0.9690,-3.1
8,dramhit,30,1495.4,1542.0,0.9698,-3.0
8,dramhit,31,1530.6,1578.0,0.9700,-3.0
8,dramhit,32,1537.4,1589.4,0.9673,-3.3
1,dramhit-p,10,2776.4,2028.6,1.3686,+36.9
1,dramhit-p,11,2726.4,2027.6,1.3446,+34.5
1,dramhit-p,12,2527.4,1978.2,1.2776,+27.8
1,dramhit-p,13,2350.0,1903.2,1.2348,+23.5
1,dramhit-p,14,2319.8,1868.4,1.2416,+24.2
1,dramhit-p,15,2223.8,1857.8,1.1970,+19.7
1,dramhit-p,16,2274.0,1829.4,1.2430,+24.3
1,dramhit-p,17,2253.0,1804.2,1.2488,+24.9
1,dramhit-p,18,2243.4,1813.4,1.2371,+23.7
1,dramhit-p,19,2250.2,1827.4,1.2314,+23.1
1,dramhit-p,20,2241.6,1830.6,1.2245,+22.5
1,dramhit-p,21,2213.8,1816.2,1.2189,+21.9
1,dramhit-p,22,2236.2,1816.2,1.2313,+23.1
1,dramhit-p,23,2202.0,1813.4,1.2143,+21.4
1,dramhit-p,24,2221.8,1817.2,1.2227,+22.3
1,dramhit-p,25,2244.4,1830.4,1.2262,+22.6
1,dramhit-p,26,2228.0,1822.0,1.2228,+22.3
1,dramhit-p,27,2182.8,1807.4,1.2077,+20.8
1,dramhit-p,28,2202.8,1718.6,1.2817,+28.2
1,dramhit-p,29,2054.4,1682.6,1.2210,+22.1
1,dramhit-p,30,2023.0,1744.2,1.1598,+16.0
1,dramhit-p,31,2149.8,1792.8,1.1991,+19.9
1,dramhit-p,32,2007.2,1753.0,1.1450,+14.5
12,dramblast-p,10,3491.8,2158.4,1.6178,+61.8
12,dramblast-p,11,3373.0,2223.4,1.5170,+51.7
12,dramblast-p,12,3107.8,2177.0,1.4276,+42.8
12,dramblast-p,13,2820.0,2062.8,1.3671,+36.7
12,dramblast-p,14,2743.0,2016.8,1.3601,+36.0
12,dramblast-p,15,2689.6,1984.6,1.3552,+35.5
12,dramblast-p,16,2664.6,1966.6,1.3549,+35.5
12,dramblast-p,17,2631.6,1974.2,1.3330,+33.3
12,dramblast-p,18,2401.4,1976.2,1.2152,+21.5
12,dramblast-p,19,2622.4,1980.6,1.3240,+32.4
12,dramblast-p,20,2597.2,1970.2,1.3182,+31.8
12,dramblast-p,21,2633.6,1948.8,1.3514,+35.1
12,dramblast-p,22,2597.0,1967.0,1.3203,+32.0
12,dramblast-p,23,2589.4,1886.0,1.3730,+37.3
12,dramblast-p,24,2534.6,1884.4,1.3450,+34.5
12,dramblast-p,25,2570.6,1979.8,1.2984,+29.8
12,dramblast-p,26,2566.0,1962.6,1.3074,+30.7
12,dramblast-p,27,2330.8,1948.0,1.1965,+19.7
12,dramblast-p,28,2507.2,1966.4,1.2750,+27.5
12,dramblast-p,29,2401.4,1775.2,1.3527,+35.3
12,dramblast-p,30,2470.8,1905.8,1.2965,+29.6
12,dramblast-p,31,2489.0,1829.6,1.3604,+36.0
12,dramblast-p,32,2463.2,1920.8,1.2824,+28.2
