ht_type,label,k,repeats,set_mops_mean,set_mops_min,set_mops_max,set_mops_stdev,fill_pct
3,dramblast,10,5,1872.6,1816,1977,78.0,0.05
3,dramblast,11,5,1841.6,1760,1896,73.6,0.20
3,dramblast,12,5,1822.4,1733,1957,122.0,0.78
3,dramblast,13,5,1835.6,1785,1910,67.9,3.11
3,dramblast,14,5,1702.4,1590,1779,102.2,10.78
3,dramblast,15,5,1782.4,1686,1926,130.2,24.02
3,dramblast,16,5,1939.2,1929,1947,8.9,35.67
3,dramblast,17,5,1954.4,1948,1964,8.3,42.89
3,dramblast,18,5,1978.4,1962,1990,14.5,47.13
3,dramblast,19,5,1884.2,1815,1986,92.5,49.95
3,dramblast,20,5,1792.2,1785,1799,6.5,52.15
3,dramblast,21,5,1987.8,1975,2007,16.6,54.10
3,dramblast,22,5,1996.2,1993,1999,2.6,55.93
3,dramblast,23,5,1984.0,1981,1986,2.3,57.70
3,dramblast,24,5,2000.0,1969,2023,28.4,59.43
3,dramblast,25,5,2007.8,1986,2040,28.5,61.13
3,dramblast,26,5,2012.2,1995,2023,14.4,62.80
3,dramblast,27,5,1853.0,1843,1859,8.2,64.46
3,dramblast,28,5,1937.6,1860,2054,105.8,66.09
3,dramblast,29,5,2054.4,2035,2068,17.3,67.71
3,dramblast,30,5,2079.8,2068,2090,10.2,69.31
3,dramblast,31,5,2092.0,2086,2100,6.2,70.90
3,dramblast,32,5,2101.8,2091,2113,9.7,72.47
8,dramhit,10,5,1379.2,1314,1423,58.2,0.05
8,dramhit,11,5,1356.0,1311,1422,60.3,0.20
8,dramhit,12,5,1381.0,1298,1437,75.3,0.78
8,dramhit,13,5,1377.4,1285,1440,83.9,3.11
8,dramhit,14,5,1232.2,1171,1322,81.5,10.78
8,dramhit,15,5,1376.0,1241,1467,123.2,24.02
8,dramhit,16,5,1442.0,1441,1444,1.2,35.67
8,dramhit,17,5,1447.8,1445,1452,3.4,42.89
8,dramhit,18,5,1449.2,1439,1459,9.2,47.13
8,dramhit,19,5,1394.6,1302,1459,84.1,49.95
8,dramhit,20,5,1305.2,1295,1319,12.6,52.15
8,dramhit,21,5,1471.4,1464,1477,5.3,54.10
8,dramhit,22,5,1472.8,1467,1476,3.4,55.93
8,dramhit,23,5,1479.0,1476,1481,1.9,57.70
8,dramhit,24,5,1484.4,1477,1496,9.0,59.43
8,dramhit,25,5,1491.8,1461,1513,27.7,61.13
8,dramhit,26,5,1503.0,1487,1528,19.8,62.80
8,dramhit,27,5,1355.2,1341,1365,12.1,64.46
8,dramhit,28,5,1451.6,1349,1521,93.7,66.09
8,dramhit,29,5,1503.6,1500,1508,3.0,67.71
8,dramhit,30,5,1542.0,1538,1547,3.9,69.31
8,dramhit,31,5,1578.0,1571,1584,5.1,70.90
8,dramhit,32,5,1589.4,1587,1593,2.5,72.47
1,dramhit-p,10,5,2028.6,2014,2039,9.7,0.05
1,dramhit-p,11,5,2027.6,2011,2034,9.4,0.20
1,dramhit-p,12,5,1978.2,1965,1989,8.6,0.78
1,dramhit-p,13,5,1903.2,1897,1908,4.7,3.11
1,dramhit-p,14,5,1868.4,1860,1873,5.2,10.78
1,dramhit-p,15,5,1857.8,1846,1863,7.0,24.02
1,dramhit-p,16,5,1829.4,1821,1836,6.3,35.67
1,dramhit-p,17,5,1804.2,1791,1814,8.4,42.89
1,dramhit-p,18,5,1813.4,1812,1815,1.1,47.13
1,dramhit-p,19,5,1827.4,1818,1836,6.8,49.95
1,dramhit-p,20,5,1830.6,1820,1836,6.2,52.15
1,dramhit-p,21,5,1816.2,1807,1820,5.8,54.10
1,dramhit-p,22,5,1816.2,1805,1822,6.8,55.93
1,dramhit-p,23,5,1813.4,1811,1815,1.8,57.70
1,dramhit-p,24,5,1817.2,1796,1826,12.7,59.43
1,dramhit-p,25,5,1830.4,1818,1839,8.7,61.13
1,dramhit-p,26,5,1822.0,1818,1826,3.5,62.80
1,dramhit-p,27,5,1807.4,1806,1810,1.5,64.46
1,dramhit-p,28,5,1718.6,1401,1810,178.1,66.09
1,dramhit-p,29,5,1682.6,1662,1692,12.2,67.71
1,dramhit-p,30,5,1744.2,1733,1750,7.5,69.31
1,dramhit-p,31,5,1792.8,1788,1800,4.8,70.90
1,dramhit-p,32,5,1753.0,1742,1757,6.2,72.47
12,dramblast-p,10,5,2158.4,1581,2342,326.2,0.05
12,dramblast-p,11,5,2223.4,1824,2331,223.4,0.20
12,dramblast-p,12,5,2177.0,2142,2213,28.0,0.78
12,dramblast-p,13,5,2062.8,2018,2099,29.9,3.11
12,dramblast-p,14,5,2016.8,1960,2070,39.2,10.78
12,dramblast-p,15,5,1984.6,1913,2028,47.4,24.02
12,dramblast-p,16,5,1966.6,1916,2008,41.1,35.67
12,dramblast-p,17,5,1974.2,1944,1994,19.3,42.89
12,dramblast-p,18,5,1976.2,1944,1988,18.2,47.13
12,dramblast-p,19,5,1980.6,1967,1991,8.7,49.95
12,dramblast-p,20,5,1970.2,1945,2000,22.3,52.15
12,dramblast-p,21,5,1948.8,1916,1979,26.0,54.10
12,dramblast-p,22,5,1967.0,1909,1988,33.0,55.93
12,dramblast-p,23,5,1886.0,1520,1984,204.7,57.70
12,dramblast-p,24,5,1884.4,1475,2000,229.0,59.43
12,dramblast-p,25,5,1979.8,1963,2006,16.7,61.13
12,dramblast-p,26,5,1962.6,1915,1987,28.6,62.80
12,dramblast-p,27,5,1948.0,1886,1968,34.8,64.46
12,dramblast-p,28,5,1966.4,1944,1976,13.1,66.09
12,dramblast-p,29,5,1775.2,1456,1860,178.5,67.71
12,dramblast-p,30,5,1905.8,1889,1916,10.8,69.31
12,dramblast-p,31,5,1829.6,1546,1925,163.7,70.90
12,dramblast-p,32,5,1920.8,1903,1932,11.4,72.47
