ht_type,label,k,repeats,set_mops_mean,set_mops_min,set_mops_max,set_mops_stdev,fill_pct
3,dramblast,10,5,1753.6,1721,1805,43.8,0.05
3,dramblast,11,5,1724.2,1706,1737,16.6,0.20
3,dramblast,12,5,1734.2,1647,1865,118.9,0.78
3,dramblast,13,5,1663.0,1570,1802,126.4,3.11
3,dramblast,14,5,1734.2,1669,1777,58.6,10.78
3,dramblast,15,5,1825.4,1808,1851,23.4,24.02
3,dramblast,16,5,1745.4,1684,1838,83.6,35.67
3,dramblast,17,5,1798.6,1699,1865,90.9,42.89
3,dramblast,18,5,1683.6,1579,1840,142.3,47.13
3,dramblast,19,5,1781.2,1684,1846,87.8,49.95
3,dramblast,20,5,1778.6,1723,1861,75.2,52.15
3,dramblast,21,5,1762.0,1627,1852,122.8,54.10
3,dramblast,22,5,1829.6,1772,1915,76.6,55.93
3,dramblast,23,5,1882.4,1870,1901,16.5,57.70
3,dramblast,24,5,1905.8,1903,1910,3.4,59.43
3,dramblast,25,5,1898.8,1890,1906,8.1,61.13
3,dramblast,26,5,1873.0,1803,1925,63.8,62.80
3,dramblast,27,5,1837.2,1784,1917,71.9,64.46
3,dramblast,28,5,1840.0,1785,1922,74.9,66.09
3,dramblast,29,5,1850.6,1764,1908,78.1,67.71
3,dramblast,30,5,1837.2,1727,1911,100.1,69.31
3,dramblast,31,5,1838.4,1773,1936,88.6,70.90
3,dramblast,32,5,1811.0,1807,1814,3.2,72.47
8,dramhit,10,5,1366.0,1364,1368,1.6,0.05
8,dramhit,11,5,1277.0,1261,1301,21.0,0.20
8,dramhit,12,5,1340.2,1261,1395,71.9,0.78
8,dramhit,13,5,1334.8,1274,1376,55.1,3.11
8,dramhit,14,5,1323.2,1280,1388,58.2,10.78
8,dramhit,15,5,1405.6,1384,1421,19.7,24.02
8,dramhit,16,5,1349.8,1289,1391,54.6,35.67
8,dramhit,17,5,1322.8,1271,1399,69.6,42.89
8,dramhit,18,5,1307.0,1187,1388,109.6,47.13
8,dramhit,19,5,1330.0,1274,1413,75.3,49.95
8,dramhit,20,5,1389.6,1314,1441,68.6,52.15
8,dramhit,21,5,1324.0,1240,1449,113.2,54.10
8,dramhit,22,5,1407.8,1340,1454,61.4,55.93
8,dramhit,23,5,1434.6,1429,1439,4.7,57.70
8,dramhit,24,5,1449.8,1446,1452,3.0,59.43
8,dramhit,25,5,1470.8,1462,1477,7.6,61.13
8,dramhit,26,5,1416.6,1363,1497,72.5,62.80
8,dramhit,27,5,1440.4,1366,1491,67.9,64.46
8,dramhit,28,5,1422.8,1349,1472,66.5,66.09
8,dramhit,29,5,1386.0,1334,1462,68.9,67.71
8,dramhit,30,5,1403.4,1352,1479,69.0,69.31
8,dramhit,31,5,1461.2,1379,1518,75.1,70.90
8,dramhit,32,5,1414.0,1408,1424,6.8,72.47
1,dramhit-p,10,5,2691.6,2268,2811,237.0,0.05
