Intel(R) Memory Latency Checker - v3.11b
Command line parameters: --loaded_latency 

Using buffer size of 100.000MiB/thread for reads and an additional 100.000MiB/thread for writes

Measuring Loaded Latencies for the system
Using all the threads from each core if Hyper-threading is enabled
Using Read-only traffic type
Inject	Latency	Bandwidth
Delay	(ns)	MB/sec
==========================
 00000	667.41	 216869.5
 00002	343.72	 221055.6
 00008	344.33	 220440.0
 00015	380.95	 220277.1
 00050	375.23	 221227.9
 00100	156.40	 224571.5
 00200	125.69	 126027.9
 00300	124.49	  84685.1
 00400	123.84	  62378.9
 00500	120.62	  50523.1
 00700	117.86	  36518.2
 01000	117.33	  25881.2
 01300	117.25	  20094.7
 01700	116.94	  15534.0
 02500	117.05	  10764.3
 03500	116.78	   7857.8
 05000	116.75	   5671.5
 09000	116.60	   3398.5
 20000	116.61	   1832.2
