Intel(R) Memory Latency Checker - v3.11b
Command line parameters: --loaded_latency -c0 -j0 -k2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118,120,122,124,126 -W5 

Using buffer size of 100.000MiB/thread for reads and an additional 100.000MiB/thread for writes

Measuring Loaded Latencies for the system
Using all the threads from each core if Hyper-threading is enabled
Inject	Latency	Bandwidth
Delay	(ns)	MB/sec
==========================
 00000	398.76	 186847.7
 00002	399.65	 186712.7
 00008	399.90	 186568.6
 00015	400.31	 186275.9
 00050	401.56	 186212.0
 00100	403.28	 186025.6
 00200	186.99	 133536.5
 00300	143.52	  92635.3
 00400	134.39	  73189.1
 00500	127.94	  57747.4
 00700	123.44	  42857.4
 01000	120.70	  33269.8
 01300	119.08	  27595.6
 01700	117.93	  23654.1
 02500	115.82	  17265.2
 03500	114.05	  12602.9
 05000	112.43	   8794.6
 09000	111.26	   5223.0
 20000	110.23	   2673.4
