Intel(R) Memory Latency Checker - v3.11b
Command line parameters: --loaded_latency -c0 -j1 -k1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127 -W5 

Using buffer size of 100.000MiB/thread for reads and an additional 100.000MiB/thread for writes

Measuring Loaded Latencies for the system
Using all the threads from each core if Hyper-threading is enabled
Inject	Latency	Bandwidth
Delay	(ns)	MB/sec
==========================
 00000	530.41	 184958.6
 00002	492.26	 185021.6
 00008	491.00	 184911.3
 00015	492.14	 184845.7
 00050	493.44	 184901.3
 00100	495.87	 184600.4
 00200	302.34	 136752.7
 00300	246.00	  92935.6
 00400	235.67	  73342.3
 00500	230.34	  59407.6
 00700	226.04	  45696.8
 01000	222.73	  34433.4
 01300	221.03	  27953.7
 01700	219.87	  23000.8
 02500	218.52	  17250.8
 03500	217.59	  12633.2
 05000	216.68	   8544.3
 09000	215.95	   4996.8
 20000	215.55	   2428.0
