mode,batch_size,min,max,avg,median
PREFETCH_L3,10,65,455,89,65
PREFETCH_L3,11,65,520,80,65
PREFETCH_L3,12,65,423,89,65
PREFETCH_L3,13,65,455,90,65
PREFETCH_L3,14,65,455,87,65
PREFETCH_L3,15,65,780,92,65
PREFETCH_L3,16,65,455,88,97
PREFETCH_L3,17,65,975,99,97
PREFETCH_L3,18,65,455,89,97
PREFETCH_L3,19,65,455,93,97
PREFETCH_L3,20,65,455,94,97
PREFETCH_L3,21,65,455,89,97
PREFETCH_L3,22,65,455,98,97
PREFETCH_L3,23,65,455,93,97
PREFETCH_L3,24,65,455,98,97
PREFETCH_L3,25,65,455,98,97
PREFETCH_L3,26,65,455,95,97
PREFETCH_L3,27,65,455,101,97
PREFETCH_L3,28,65,877,104,97
PREFETCH_L3,29,65,715,104,97
PREFETCH_L3,30,65,455,102,97
PREFETCH_L3,31,65,455,105,97
PREFETCH_L3,32,65,943,113,98
PREFETCH_L3,33,97,423,105,98
PREFETCH_L3,34,97,455,111,98
PREFETCH_L3,35,97,552,108,98
PREFETCH_L3,36,97,455,113,98
PREFETCH_L3,37,97,455,113,98
PREFETCH_L3,38,97,455,113,98
PREFETCH_L3,39,97,455,116,98
PREFETCH_L3,40,97,455,114,98
