mode,batch_size,min,max,avg,median
PREFETCH_T2,10,32,390,72,65
PREFETCH_T2,11,65,390,74,65
PREFETCH_T2,12,65,390,75,65
PREFETCH_T2,13,65,390,72,65
PREFETCH_T2,14,65,422,76,65
PREFETCH_T2,15,65,390,74,65
PREFETCH_T2,16,65,422,78,65
PREFETCH_T2,17,65,390,74,65
PREFETCH_T2,18,65,422,79,65
PREFETCH_T2,19,65,390,80,65
PREFETCH_T2,20,65,422,77,65
PREFETCH_T2,21,65,390,83,65
PREFETCH_T2,22,65,390,78,65
PREFETCH_T2,23,65,390,85,65
PREFETCH_T2,24,65,423,81,65
PREFETCH_T2,25,65,390,84,65
PREFETCH_T2,26,65,422,84,65
PREFETCH_T2,27,65,390,85,65
PREFETCH_T2,28,65,390,85,65
PREFETCH_T2,29,65,390,84,65
PREFETCH_T2,30,65,455,88,65
PREFETCH_T2,31,65,390,87,97
PREFETCH_T2,32,65,422,92,97
PREFETCH_T2,33,65,423,96,97
PREFETCH_T2,34,65,390,92,97
PREFETCH_T2,35,65,488,95,97
PREFETCH_T2,36,65,487,92,97
PREFETCH_T2,37,65,422,96,97
PREFETCH_T2,38,65,422,101,97
PREFETCH_T2,39,65,390,97,97
PREFETCH_T2,40,65,390,100,97
PREFETCH_T2,41,65,423,100,97
PREFETCH_T2,42,65,423,105,97
PREFETCH_T2,43,65,422,103,97
PREFETCH_T2,44,97,423,109,97
PREFETCH_T2,45,97,422,107,98
PREFETCH_T2,46,97,423,107,98
PREFETCH_T2,47,97,455,112,98
PREFETCH_T2,48,97,552,115,98
PREFETCH_T2,49,97,552,122,98
PREFETCH_T2,50,97,422,112,98
PREFETCH_T2,51,97,520,119,98
PREFETCH_T2,52,97,553,121,98
PREFETCH_T2,53,97,455,113,98
PREFETCH_T2,54,97,455,120,98
PREFETCH_T2,55,97,455,122,130
PREFETCH_T2,56,97,585,127,130
PREFETCH_T2,57,97,455,123,130
PREFETCH_T2,58,97,455,128,130
PREFETCH_T2,59,97,455,127,130
PREFETCH_T2,60,97,553,127,130
