batch_sz: 5, duration: 106, overhead: 0, cycle_per_op: 21
batch_sz: 6, duration: 108, overhead: 0, cycle_per_op: 18
batch_sz: 7, duration: 108, overhead: 0, cycle_per_op: 15
batch_sz: 8, duration: 110, overhead: 0, cycle_per_op: 13
batch_sz: 9, duration: 111, overhead: 0, cycle_per_op: 12
batch_sz: 10, duration: 112, overhead: 0, cycle_per_op: 11
batch_sz: 11, duration: 114, overhead: 0, cycle_per_op: 10
batch_sz: 12, duration: 112, overhead: 0, cycle_per_op: 9
batch_sz: 13, duration: 114, overhead: 0, cycle_per_op: 8
batch_sz: 14, duration: 113, overhead: 0, cycle_per_op: 8
batch_sz: 15, duration: 116, overhead: 0, cycle_per_op: 7
batch_sz: 16, duration: 116, overhead: 0, cycle_per_op: 7
batch_sz: 17, duration: 117, overhead: 0, cycle_per_op: 6
batch_sz: 18, duration: 115, overhead: 0, cycle_per_op: 6
batch_sz: 19, duration: 157, overhead: 0, cycle_per_op: 8
batch_sz: 20, duration: 281, overhead: 0, cycle_per_op: 14
batch_sz: 21, duration: 386, overhead: 0, cycle_per_op: 18
batch_sz: 22, duration: 377, overhead: 0, cycle_per_op: 17
batch_sz: 23, duration: 387, overhead: 0, cycle_per_op: 16
batch_sz: 24, duration: 413, overhead: 0, cycle_per_op: 17
batch_sz: 25, duration: 436, overhead: 0, cycle_per_op: 17
batch_sz: 26, duration: 440, overhead: 0, cycle_per_op: 16
batch_sz: 27, duration: 437, overhead: 0, cycle_per_op: 16
batch_sz: 28, duration: 445, overhead: 0, cycle_per_op: 15
batch_sz: 29, duration: 444, overhead: 0, cycle_per_op: 15
batch_sz: 30, duration: 446, overhead: 0, cycle_per_op: 14
