mmap size 2097152
batch_sz: 5, duration: 103, overhead: 0, cycle_per_op: 20
batch_sz: 6, duration: 104, overhead: 0, cycle_per_op: 17
batch_sz: 7, duration: 103, overhead: 0, cycle_per_op: 14
batch_sz: 8, duration: 109, overhead: 0, cycle_per_op: 13
batch_sz: 9, duration: 106, overhead: 0, cycle_per_op: 11
batch_sz: 10, duration: 109, overhead: 0, cycle_per_op: 10
batch_sz: 11, duration: 109, overhead: 0, cycle_per_op: 9
batch_sz: 12, duration: 111, overhead: 0, cycle_per_op: 9
batch_sz: 13, duration: 110, overhead: 0, cycle_per_op: 8
batch_sz: 14, duration: 110, overhead: 0, cycle_per_op: 7
batch_sz: 15, duration: 111, overhead: 0, cycle_per_op: 7
batch_sz: 16, duration: 112, overhead: 0, cycle_per_op: 7
batch_sz: 17, duration: 112, overhead: 0, cycle_per_op: 6
batch_sz: 18, duration: 112, overhead: 0, cycle_per_op: 6
batch_sz: 19, duration: 114, overhead: 0, cycle_per_op: 6
batch_sz: 20, duration: 119, overhead: 0, cycle_per_op: 5
batch_sz: 21, duration: 153, overhead: 0, cycle_per_op: 7
batch_sz: 22, duration: 151, overhead: 0, cycle_per_op: 6
batch_sz: 23, duration: 154, overhead: 0, cycle_per_op: 6
batch_sz: 24, duration: 158, overhead: 0, cycle_per_op: 6
batch_sz: 25, duration: 155, overhead: 0, cycle_per_op: 6
batch_sz: 26, duration: 159, overhead: 0, cycle_per_op: 6
batch_sz: 27, duration: 161, overhead: 0, cycle_per_op: 5
batch_sz: 28, duration: 158, overhead: 0, cycle_per_op: 5
batch_sz: 29, duration: 160, overhead: 0, cycle_per_op: 5
batch_sz: 30, duration: 161, overhead: 0, cycle_per_op: 5
