mode,batch_size,min,max,avg,median
PREFETCH_T0,10,58,242,70,66
PREFETCH_T0,11,58,102,71,69
PREFETCH_T0,12,62,112,72,68
PREFETCH_T0,13,62,112,74,72
PREFETCH_T0,14,64,172,78,74
PREFETCH_T0,15,66,102,77,75
PREFETCH_T0,16,70,132,83,80
PREFETCH_T0,17,378,544,445,451
PREFETCH_T0,18,390,558,450,448
PREFETCH_T0,19,402,550,466,466
PREFETCH_T0,20,406,576,474,468
PREFETCH_T0,21,418,594,484,479
PREFETCH_T0,22,430,576,496,494
PREFETCH_T0,23,428,588,504,502
PREFETCH_T0,24,446,586,514,522
PREFETCH_T0,25,440,584,524,539
PREFETCH_T0,26,446,600,523,527
PREFETCH_T0,27,456,606,534,533
PREFETCH_T0,28,458,778,547,568
PREFETCH_T0,29,480,626,553,570
PREFETCH_T0,30,472,634,551,563
PREFETCH_T0,31,494,734,562,576
PREFETCH_T0,32,488,634,560,556
PREFETCH_T0,33,488,728,581,589
PREFETCH_T0,34,492,648,575,579
PREFETCH_T0,35,504,886,591,596
PREFETCH_T0,36,520,918,598,601
PREFETCH_T0,37,524,880,607,604
PREFETCH_T0,38,528,884,612,609
PREFETCH_T0,39,542,950,624,616
PREFETCH_T0,40,558,966,638,620
PREFETCH_T0,41,536,998,646,628
PREFETCH_T0,42,570,994,689,646
PREFETCH_T0,43,548,1012,703,648
PREFETCH_T0,44,562,912,723,697
PREFETCH_T0,45,584,948,748,726
PREFETCH_T0,46,590,1066,775,798
PREFETCH_T0,47,612,990,812,843
PREFETCH_T0,48,594,1008,831,853
PREFETCH_T0,49,648,1074,863,879
PREFETCH_T0,50,638,1060,882,893
PREFETCH_T0,51,720,1040,906,909
PREFETCH_T0,52,828,1040,921,925
PREFETCH_T0,53,834,1022,939,939
PREFETCH_T0,54,830,1066,939,940
PREFETCH_T0,55,848,1074,950,948
PREFETCH_T0,56,862,1064,956,956
PREFETCH_T0,57,914,1084,966,963
PREFETCH_T0,58,890,1054,976,976
PREFETCH_T0,59,894,1094,978,974
PREFETCH_T0,60,928,1070,990,992
