mode,batch_size,min,max,avg,median
REGULAR_LOAD,10,404,970,542,495
REGULAR_LOAD,11,394,860,567,511
REGULAR_LOAD,12,422,854,575,519
REGULAR_LOAD,13,424,940,594,567
REGULAR_LOAD,14,412,890,614,610
REGULAR_LOAD,15,418,962,599,530
REGULAR_LOAD,16,452,960,636,613
REGULAR_LOAD,17,418,1110,662,659
REGULAR_LOAD,18,430,982,687,676
REGULAR_LOAD,19,466,1994,718,698
REGULAR_LOAD,20,454,1172,716,692
REGULAR_LOAD,21,454,1124,723,705
REGULAR_LOAD,22,512,1132,728,723
REGULAR_LOAD,23,516,1116,760,722
REGULAR_LOAD,24,438,1118,789,753
REGULAR_LOAD,25,440,1128,777,740
REGULAR_LOAD,26,458,1080,783,750
REGULAR_LOAD,27,478,1160,793,761
REGULAR_LOAD,28,524,1164,822,780
REGULAR_LOAD,29,578,1150,825,813
REGULAR_LOAD,30,608,1154,856,842
REGULAR_LOAD,31,666,1294,870,841
REGULAR_LOAD,32,694,1168,887,863
REGULAR_LOAD,33,668,1226,895,859
REGULAR_LOAD,34,716,1494,918,882
REGULAR_LOAD,35,722,1280,924,886
REGULAR_LOAD,36,728,1276,961,956
REGULAR_LOAD,37,768,1368,986,976
REGULAR_LOAD,38,762,1452,1010,1005
REGULAR_LOAD,39,774,1476,1034,1029
REGULAR_LOAD,40,766,1474,1059,1048
