mode,batch_size,min,max,avg,median
REGULAR_LOAD,10,306,848,482,445
REGULAR_LOAD,11,330,790,473,420
REGULAR_LOAD,12,324,788,503,512
REGULAR_LOAD,13,342,806,520,489
REGULAR_LOAD,14,354,816,515,445
REGULAR_LOAD,15,356,824,530,506
REGULAR_LOAD,16,360,814,548,522
REGULAR_LOAD,17,376,820,557,547
REGULAR_LOAD,18,394,848,571,558
REGULAR_LOAD,19,398,828,584,574
REGULAR_LOAD,20,404,960,644,638
REGULAR_LOAD,21,398,866,628,610
REGULAR_LOAD,22,410,872,634,622
REGULAR_LOAD,23,406,1040,646,626
REGULAR_LOAD,24,412,996,638,606
REGULAR_LOAD,25,434,1058,652,626
REGULAR_LOAD,26,436,964,662,636
REGULAR_LOAD,27,454,1050,660,646
REGULAR_LOAD,28,446,974,663,658
REGULAR_LOAD,29,442,996,692,686
REGULAR_LOAD,30,444,1072,689,665
REGULAR_LOAD,31,528,982,724,708
REGULAR_LOAD,32,518,1092,733,721
REGULAR_LOAD,33,524,1040,754,738
REGULAR_LOAD,34,550,1228,789,745
REGULAR_LOAD,35,556,1364,829,826
REGULAR_LOAD,36,570,1348,833,830
REGULAR_LOAD,37,588,1496,826,822
REGULAR_LOAD,38,576,1218,840,837
REGULAR_LOAD,39,632,1434,877,851
REGULAR_LOAD,40,644,1464,895,850
REGULAR_LOAD,41,692,1436,930,910
REGULAR_LOAD,42,610,1488,936,896
REGULAR_LOAD,43,700,1538,919,885
REGULAR_LOAD,44,682,1558,987,943
REGULAR_LOAD,45,672,1524,954,926
REGULAR_LOAD,46,672,1484,974,936
REGULAR_LOAD,47,712,1524,982,972
REGULAR_LOAD,48,702,1526,1005,992
REGULAR_LOAD,49,742,1428,1037,1000
REGULAR_LOAD,50,784,1460,1030,1036
REGULAR_LOAD,51,754,1572,1074,1054
REGULAR_LOAD,52,772,1592,1094,1054
REGULAR_LOAD,53,746,1794,1071,1059
REGULAR_LOAD,54,848,1546,1108,1112
REGULAR_LOAD,55,842,1650,1135,1106
REGULAR_LOAD,56,858,1618,1135,1130
REGULAR_LOAD,57,804,1582,1138,1130
REGULAR_LOAD,58,818,1536,1140,1116
REGULAR_LOAD,59,862,1526,1183,1180
REGULAR_LOAD,60,870,1850,1204,1176
