mode,batch_size,min,max,avg,median
AVX512_LOAD,10,414,1200,655,518
AVX512_LOAD,11,422,1214,649,504
AVX512_LOAD,12,420,1228,712,646
AVX512_LOAD,13,432,1234,691,596
AVX512_LOAD,14,428,1210,709,669
AVX512_LOAD,15,432,1256,718,649
AVX512_LOAD,16,440,1216,716,648
AVX512_LOAD,17,442,1256,771,777
AVX512_LOAD,18,444,1210,761,750
AVX512_LOAD,19,448,1252,774,775
AVX512_LOAD,20,456,1520,808,812
AVX512_LOAD,21,468,1248,837,830
AVX512_LOAD,22,464,1478,803,806
AVX512_LOAD,23,470,1450,854,830
AVX512_LOAD,24,482,1278,841,839
AVX512_LOAD,25,490,1838,902,913
AVX512_LOAD,26,494,1732,914,881
AVX512_LOAD,27,570,1588,993,959
AVX512_LOAD,28,738,1734,1012,962
AVX512_LOAD,29,708,2000,1075,1056
AVX512_LOAD,30,760,1820,1114,1099
AVX512_LOAD,31,766,1958,1127,1055
AVX512_LOAD,32,784,2100,1188,1182
AVX512_LOAD,33,814,2140,1163,1148
AVX512_LOAD,34,824,2188,1224,1208
AVX512_LOAD,35,838,2058,1269,1250
AVX512_LOAD,36,870,2126,1273,1260
AVX512_LOAD,37,858,2184,1296,1304
AVX512_LOAD,38,868,2220,1301,1301
AVX512_LOAD,39,866,2158,1335,1349
AVX512_LOAD,40,888,2122,1387,1384
AVX512_LOAD,41,878,2178,1368,1367
AVX512_LOAD,42,898,2220,1400,1385
AVX512_LOAD,43,926,2088,1439,1410
AVX512_LOAD,44,904,2226,1461,1456
AVX512_LOAD,45,914,2198,1476,1485
AVX512_LOAD,46,912,2184,1483,1461
AVX512_LOAD,47,914,2192,1532,1534
AVX512_LOAD,48,948,2332,1546,1522
AVX512_LOAD,49,960,2216,1567,1574
AVX512_LOAD,50,960,2266,1574,1586
AVX512_LOAD,51,1026,2352,1598,1592
AVX512_LOAD,52,1144,2188,1595,1576
AVX512_LOAD,53,1162,2600,1616,1619
AVX512_LOAD,54,1176,2600,1664,1628
AVX512_LOAD,55,1196,2568,1760,1749
AVX512_LOAD,56,1210,2598,1751,1762
AVX512_LOAD,57,1250,2548,1712,1710
AVX512_LOAD,58,1268,2710,1789,1785
AVX512_LOAD,59,1238,2760,1806,1797
AVX512_LOAD,60,1264,2722,1829,1822
