mode,batch_size,min,max,avg,median
REGULAR_LOAD,10,406,1222,647,519
REGULAR_LOAD,11,416,1194,659,506
REGULAR_LOAD,12,418,1198,686,590
REGULAR_LOAD,13,426,1218,674,582
REGULAR_LOAD,14,430,1236,699,631
REGULAR_LOAD,15,432,1232,688,591
REGULAR_LOAD,16,438,1236,730,661
REGULAR_LOAD,17,442,1228,778,777
REGULAR_LOAD,18,444,1262,778,797
REGULAR_LOAD,19,444,1290,832,829
REGULAR_LOAD,20,454,1234,786,781
REGULAR_LOAD,21,466,1238,821,806
REGULAR_LOAD,22,474,1376,843,819
REGULAR_LOAD,23,476,1472,874,846
REGULAR_LOAD,24,480,1622,855,838
REGULAR_LOAD,25,482,1334,864,836
REGULAR_LOAD,26,494,1408,878,838
REGULAR_LOAD,27,500,1442,918,910
REGULAR_LOAD,28,498,1514,922,920
REGULAR_LOAD,29,522,1448,936,927
REGULAR_LOAD,30,512,1554,948,913
REGULAR_LOAD,31,722,1610,989,929
REGULAR_LOAD,32,744,1758,1058,1030
REGULAR_LOAD,33,770,1974,1065,1043
REGULAR_LOAD,34,802,1684,1103,1053
REGULAR_LOAD,35,826,1842,1139,1103
REGULAR_LOAD,36,836,1840,1152,1117
REGULAR_LOAD,37,842,1826,1185,1170
REGULAR_LOAD,38,836,2150,1193,1165
REGULAR_LOAD,39,870,2196,1238,1200
REGULAR_LOAD,40,872,1890,1235,1208
REGULAR_LOAD,41,860,2056,1278,1260
REGULAR_LOAD,42,866,2154,1264,1228
REGULAR_LOAD,43,850,2176,1348,1340
REGULAR_LOAD,44,888,2238,1323,1295
REGULAR_LOAD,45,910,2144,1369,1354
REGULAR_LOAD,46,904,2274,1412,1398
REGULAR_LOAD,47,904,2288,1409,1385
REGULAR_LOAD,48,918,2198,1435,1442
REGULAR_LOAD,49,914,2312,1426,1399
REGULAR_LOAD,50,940,2154,1522,1540
REGULAR_LOAD,51,948,2158,1504,1502
REGULAR_LOAD,52,926,2224,1492,1488
REGULAR_LOAD,53,982,2260,1565,1566
REGULAR_LOAD,54,1090,2308,1580,1557
REGULAR_LOAD,55,980,2318,1561,1533
REGULAR_LOAD,56,1110,2354,1612,1620
REGULAR_LOAD,57,1032,2216,1618,1603
REGULAR_LOAD,58,1046,2314,1642,1633
REGULAR_LOAD,59,1056,2842,1653,1648
REGULAR_LOAD,60,1140,2310,1659,1641
