mode,batch_size,min,max,avg,median
PREFETCH_NTA,10,60,384,73,68
PREFETCH_NTA,11,62,524,74,70
PREFETCH_NTA,12,64,110,73,72
PREFETCH_NTA,13,64,114,75,74
PREFETCH_NTA,14,66,146,78,76
PREFETCH_NTA,15,68,126,79,78
PREFETCH_NTA,16,66,248,82,78
PREFETCH_NTA,17,358,460,408,414
PREFETCH_NTA,18,372,466,414,424
PREFETCH_NTA,19,382,472,424,425
PREFETCH_NTA,20,386,4592,446,418
PREFETCH_NTA,21,394,494,436,442
PREFETCH_NTA,22,398,518,443,447
PREFETCH_NTA,23,402,566,449,451
PREFETCH_NTA,24,406,522,456,464
PREFETCH_NTA,25,414,522,461,456
PREFETCH_NTA,26,418,564,473,478
PREFETCH_NTA,27,432,540,479,482
PREFETCH_NTA,28,430,550,486,492
PREFETCH_NTA,29,448,730,496,500
PREFETCH_NTA,30,428,554,501,504
PREFETCH_NTA,31,456,894,513,512
PREFETCH_NTA,32,456,830,520,516
PREFETCH_NTA,33,454,904,532,532
PREFETCH_NTA,34,468,1040,542,536
PREFETCH_NTA,35,480,968,569,548
PREFETCH_NTA,36,478,986,576,550
PREFETCH_NTA,37,494,1086,597,552
PREFETCH_NTA,38,490,1050,649,572
PREFETCH_NTA,39,504,1042,672,587
PREFETCH_NTA,40,494,1086,732,743
PREFETCH_NTA,41,510,1078,778,811
PREFETCH_NTA,42,510,1092,794,835
PREFETCH_NTA,43,522,1094,826,859
PREFETCH_NTA,44,548,1094,860,881
PREFETCH_NTA,45,522,1230,895,928
PREFETCH_NTA,46,546,1214,927,949
PREFETCH_NTA,47,574,1184,954,972
PREFETCH_NTA,48,568,1418,981,1003
PREFETCH_NTA,49,586,1368,1022,1026
PREFETCH_NTA,50,598,1530,1047,1049
PREFETCH_NTA,51,586,1556,1070,1074
PREFETCH_NTA,52,816,1524,1127,1113
PREFETCH_NTA,53,836,1598,1168,1130
PREFETCH_NTA,54,796,5466,1204,1157
PREFETCH_NTA,55,872,1514,1212,1178
PREFETCH_NTA,56,998,1598,1274,1293
PREFETCH_NTA,57,958,1524,1274,1272
PREFETCH_NTA,58,990,1634,1314,1324
PREFETCH_NTA,59,966,8568,1399,1381
PREFETCH_NTA,60,922,2156,1392,1414
