mode,batch_size,min,max,avg,median
PREFETCHW,10,58,232,71,68
PREFETCHW,11,62,116,71,70
PREFETCHW,12,60,136,73,72
PREFETCHW,13,64,120,75,72
PREFETCHW,14,66,352,80,76
PREFETCHW,15,68,156,80,78
PREFETCHW,16,66,254,81,78
PREFETCHW,17,362,446,404,409
PREFETCHW,18,370,468,410,409
PREFETCHW,19,380,468,421,427
PREFETCHW,20,384,648,429,435
PREFETCHW,21,388,484,432,431
PREFETCHW,22,392,496,436,441
PREFETCHW,23,402,494,445,453
PREFETCHW,24,402,502,448,457
PREFETCHW,25,406,512,454,458
PREFETCHW,26,416,600,461,472
PREFETCHW,27,420,512,464,462
PREFETCHW,28,430,556,471,478
PREFETCHW,29,434,840,502,489
PREFETCHW,30,434,838,513,494
PREFETCHW,31,444,840,591,523
PREFETCHW,32,448,854,648,694
PREFETCHW,33,692,874,771,762
PREFETCHW,34,704,860,780,767
PREFETCHW,35,712,882,795,790
PREFETCHW,36,732,906,799,792
PREFETCHW,37,742,880,804,792
PREFETCHW,38,742,892,812,805
PREFETCHW,39,752,904,823,822
PREFETCHW,40,766,946,826,820
PREFETCHW,41,758,992,835,828
PREFETCHW,42,782,1192,861,866
PREFETCHW,43,780,1170,874,874
PREFETCHW,44,790,1180,892,880
PREFETCHW,45,804,1228,939,898
PREFETCHW,46,810,1196,967,918
PREFETCHW,47,816,1206,1023,1055
PREFETCHW,48,826,1262,1085,1112
PREFETCHW,49,1040,1266,1138,1140
PREFETCHW,50,1044,1254,1148,1153
PREFETCHW,51,1078,1284,1166,1171
PREFETCHW,52,1080,1266,1175,1178
PREFETCHW,53,1096,1442,1183,1184
PREFETCHW,54,1114,1366,1192,1191
PREFETCHW,55,1118,1484,1209,1206
PREFETCHW,56,1132,1454,1215,1214
PREFETCHW,57,1158,1516,1242,1224
PREFETCHW,58,1156,1542,1266,1243
PREFETCHW,59,1176,8256,1326,1258
PREFETCHW,60,1178,1558,1324,1292
