mode,batch_size,min,max,avg,median
PREFETCH_T2,10,60,444,74,68
PREFETCH_T2,11,60,210,72,70
PREFETCH_T2,12,64,130,74,72
PREFETCH_T2,13,64,128,76,74
PREFETCH_T2,14,66,208,77,76
PREFETCH_T2,15,68,170,80,78
PREFETCH_T2,16,68,256,82,80
PREFETCH_T2,17,362,452,406,414
PREFETCH_T2,18,364,464,406,398
PREFETCH_T2,19,376,458,412,416
PREFETCH_T2,20,368,468,413,419
PREFETCH_T2,21,370,474,419,428
PREFETCH_T2,22,372,468,417,424
PREFETCH_T2,23,374,474,419,426
PREFETCH_T2,24,198,466,421,430
PREFETCH_T2,25,376,488,420,418
PREFETCH_T2,26,382,480,424,431
PREFETCH_T2,27,384,482,424,420
PREFETCH_T2,28,366,478,428,436
PREFETCH_T2,29,374,488,429,438
PREFETCH_T2,30,198,486,429,434
PREFETCH_T2,31,188,482,430,436
PREFETCH_T2,32,390,486,431,427
PREFETCH_T2,33,392,482,435,444
PREFETCH_T2,34,392,492,433,433
PREFETCH_T2,35,390,490,433,426
PREFETCH_T2,36,396,492,439,446
PREFETCH_T2,37,252,492,439,448
PREFETCH_T2,38,398,492,440,448
PREFETCH_T2,39,394,488,440,444
PREFETCH_T2,40,398,492,441,447
PREFETCH_T2,41,396,510,445,449
PREFETCH_T2,42,402,498,447,454
PREFETCH_T2,43,406,508,444,438
PREFETCH_T2,44,402,502,448,454
PREFETCH_T2,45,404,518,447,442
PREFETCH_T2,46,404,506,449,448
PREFETCH_T2,47,404,514,452,458
PREFETCH_T2,48,402,500,453,457
PREFETCH_T2,49,410,518,456,464
PREFETCH_T2,50,414,506,456,464
PREFETCH_T2,51,416,510,459,465
PREFETCH_T2,52,416,518,459,466
PREFETCH_T2,53,422,514,461,470
PREFETCH_T2,54,418,522,461,462
PREFETCH_T2,55,422,518,461,463
PREFETCH_T2,56,422,520,464,466
PREFETCH_T2,57,420,552,464,456
PREFETCH_T2,58,400,532,466,462
PREFETCH_T2,59,418,548,472,477
PREFETCH_T2,60,428,556,478,484
