batch_sz,cycles_per_op
5,9
6,8
7,7
8,6
9,5
10,4
11,4
12,4
13,3
14,3
15,3
16,3
17,3
18,3
19,5
20,8
21,15
22,17
23,16
24,15
25,15
26,14
27,14
28,13
29,13
30,13
31,12
32,12
33,11
34,11
35,10
36,11
37,10
38,10
39,9
40,9
41,10
42,9
43,9
44,9
45,9
46,8
47,9
48,8
49,9
50,8
51,8
52,8
53,8
54,7
55,8
56,7
57,8
58,8
59,8
60,8
61,8
62,8
63,8
64,8
65,8
66,8
67,8
68,8
69,8
70,8
71,8
72,8
73,8
74,8
75,8
76,8
77,8
78,8
79,8
80,8
81,8
82,8
83,8
84,7
85,7
86,8
87,7
88,7
89,8
90,8
91,8
92,8
93,7
94,7
95,8
96,7
97,7
98,7
99,7
100,7
101,7
102,7
103,7
104,7
105,7
106,7
107,7
108,7
109,7
110,6
111,7
112,7
113,7
114,7
115,6
116,6
117,7
118,6
119,6
120,6
121,7
122,6
123,7
124,6
125,7
126,6
127,6
128,6
129,6
130,6
