access_pattern,iter,num_threads,cachelines,duration,sec,bw,unc_m_rpq_inserts.pch0,unc_m_rpq_occupancy_pch0,unc_m_rpq_inserts.pch1,unc_m_rpq_occupancy_pch1
sequential,10,1,2684354560,35450244446,14.18,12.1,1611504384,64675354810,1611744728,63827771254
sequential,10,2,2684354560,18055834436,7.222,23.8,1613612282,66611080967,1613808595,65815812056
sequential,10,3,2684354560,12098744298,4.839,35.5,1608314869,68348091085,1608476559,67607320981
sequential,10,4,2684354560,9194237432,3.678,46.7,1607352466,70038577937,1607525043,69394710036
sequential,10,5,2684354560,7448992548,2.98,57.7,1607456537,72388932932,1607621282,71712150336
sequential,10,6,2684354560,6273669606,2.509,68.5,1607108667,74420265568,1607251595,73591932519
sequential,10,7,2684354560,5416646462,2.167,79.3,1606522433,76152383018,1606664749,75424194352
sequential,10,8,2684354560,4807570830,1.923,89.3,1606807952,78091982856,1606905524,77312257441
sequential,10,9,2684354560,4306807500,1.723,99.7,1607167367,79831040324,1607290806,78956409497
sequential,10,10,2684354560,3914823884,1.566,109.7,1606535428,81797281605,1606656598,80768158875
sequential,10,11,2684354560,3633944314,1.454,118.2,1606965309,84135027265,1607091283,82974365592
sequential,10,12,2684354560,3395583660,1.358,126.5,1606760347,86546469276,1606861621,85405571755
sequential,10,13,2684354560,3180807072,1.272,135.0,1607206233,88974743623,1607305740,87886661954
sequential,10,14,2684354560,3024755626,1.21,142.0,1607129957,91357605511,1607248745,90333666734
sequential,10,15,2684354560,2855294400,1.142,150.4,1607694196,93886534734,1607789368,92956880742
sequential,10,16,2684354560,2744425618,1.098,156.5,1607535778,96080548926,1607660471,95214400283
sequential,10,17,2684354560,2603452492,1.041,165.0,1608360757,98615115093,1608475180,97811913675
sequential,10,18,2684354560,2517541480,1.007,170.6,1607126220,101212705064,1607194743,100453418491
sequential,10,19,2684354560,2413529900,0.965,178.0,1609378701,104132593728,1609494468,103435496418
sequential,10,20,2684354560,2337767166,0.935,183.7,1607578335,106775984661,1607695930,106092117586
sequential,10,21,2684354560,2266721572,0.907,189.5,1607148043,109495960931,1607257448,108798617517
sequential,10,22,2684354560,2217133100,0.887,193.7,1607318551,112185575130,1607396580,111501469593
sequential,10,23,2684354560,2149949446,0.86,199.8,1607406704,114852403219,1607486260,114228867228
sequential,10,24,2684354560,2096807374,0.839,204.8,1606789382,117777860793,1606855101,117229878965
sequential,10,25,2684354560,2062896962,0.825,208.2,1607483388,120327866971,1607569170,119933190887
sequential,10,26,2684354560,2012525438,0.805,213.4,1606833522,123090642533,1606920103,122905157749
sequential,10,27,2684354560,1976974854,0.791,217.2,1607262525,125880983275,1607328997,125980630168
sequential,10,28,2684354560,1948998570,0.78,220.4,1607393049,128522091181,1607497616,129032338661
sequential,10,29,2684354560,1918633414,0.767,223.9,1606776381,131053014954,1606849922,132050662214
sequential,10,30,2684354560,1896023304,0.758,226.5,1607459640,133345657797,1607543831,134917296690
sequential,10,31,2684354560,1874046456,0.75,229.2,1606801363,135465369121,1606854068,137681317398
random,10,1,2684354560,46857757102,18.743,9.2,1609191740,64024503565,1609296346,63038172218
random,10,2,2684354560,23706135364,9.482,18.1,1608323086,65845502796,1608425251,64973652750
random,10,3,2684354560,15960979000,6.384,26.9,1608077601,67394509120,1608201032,66397849735
random,10,4,2684354560,12067568486,4.827,35.6,1608109963,68677018916,1608215859,67708090510
random,10,5,2684354560,9749192114,3.9,44.1,1608038185,70065296423,1608132983,69274825978
random,10,6,2684354560,8217741218,3.287,52.3,1607814349,71188832310,1607872378,70720109273
random,10,7,2684354560,7130610984,2.852,60.2,1608136727,72567758387,1608254324,72469515628
random,10,8,2684354560,6315321354,2.526,68.0,1608027569,73965176180,1608112791,74175655318
random,10,9,2684354560,5681590066,2.273,75.6,1607734397,75568607504,1607829351,76009742417
random,10,10,2684354560,5177860686,2.071,82.9,1608016663,77125028118,1608076477,77722037245
random,10,11,2684354560,4769661708,1.908,90.0,1608239755,78670159829,1608287853,79306229970
random,10,12,2684354560,4457638086,1.783,96.4,1608066976,80582694426,1608116110,81154703760
random,10,13,2684354560,4164607084,1.666,103.1,1608091891,82427946459,1608143179,82610756064
random,10,14,2684354560,3907011940,1.563,109.9,1608550114,84496469390,1608580675,84228142287
random,10,15,2684354560,3684584844,1.474,116.6,1608301881,85908814545,1608353614,85433480983
random,10,16,2684354560,3494589846,1.398,122.9,1608134098,87448493450,1608183380,87019160382
random,10,17,2684354560,3331919522,1.333,128.9,1608378218,88849709323,1608421242,88564873110
random,10,18,2684354560,3192204450,1.277,134.5,1608095467,90591023109,1608129857,90435586872
random,10,19,2684354560,3061139202,1.224,140.3,1608453304,92354764449,1608475211,92239968538
random,10,20,2684354560,2950296586,1.18,145.6,1608802144,93984101314,1608859576,93860766954
random,10,21,2684354560,2850246198,1.14,150.7,1608279396,95724928895,1608302025,95578042712
random,10,22,2684354560,2759282476,1.104,155.7,1608586057,97552163703,1608585232,97381023641
random,10,23,2684354560,2676191952,1.07,160.5,1608591202,99420299317,1608629222,99216839441
random,10,24,2684354560,2600981554,1.04,165.1,1608732763,101406168119,1608745293,101161157643
random,10,25,2684354560,2532756604,1.013,169.6,1609014453,103334610677,1609019118,103090662208
random,10,26,2684354560,2466196682,0.986,174.2,1608304664,105181579361,1608295481,104970435218
random,10,27,2684354560,2407396862,0.963,178.4,1608735981,107082203940,1608722117,106822834169
random,10,28,2684354560,2354364354,0.942,182.4,1608991919,109153349010,1608996997,108904034258
random,10,29,2684354560,2300342134,0.92,186.7,1608602655,111324929594,1608607292,111056065384
random,10,30,2684354560,2252919006,0.901,190.6,1609368921,113385285384,1609371381,113010175281
random,10,31,2684354560,2210887028,0.884,194.3,1611099300,115968860172,1611093294,115463352944
