access_pattern,iter,num_threads,cachelines,duration,sec,bw,unc_m_rpq_inserts.pch0,unc_m_rpq_occupancy_pch0,unc_m_rpq_inserts.pch1,unc_m_rpq_occupancy_pch1
sequential,10,2,2684354560,10641918800,4.257,40.4,1506673181,64497533218,1507574001,63916537012
sequential,10,4,2684354560,5492278124,2.197,78.2,1507209306,76830020990,1506690626,76580091517
sequential,10,6,2684354560,3637166288,1.455,118.1,1506426406,71706585871,1506520586,71267724568
sequential,10,8,2684354560,3165995314,1.266,135.7,1507107043,115058865673,1505589174,114761839923
sequential,10,10,2684354560,2291741470,0.917,187.4,1507482356,84232578948,1507256527,83799859635
sequential,10,12,2684354560,2059122272,0.824,208.6,1505883525,100646180283,1505112812,100316720392
sequential,10,14,2684354560,1790881816,0.716,239.8,1505830785,103482770496,1505536677,102989195509
sequential,10,16,2684354560,1997293664,0.799,215.0,1510808044,105610680755,1506735262,105972403159
sequential,10,18,2684354560,1607461052,0.643,267.2,1508817197,124942034289,1502422890,125612299479
sequential,10,20,2684354560,1691913818,0.677,253.9,1513362927,126530988697,1507011462,127812527930
sequential,10,22,2684354560,1585256774,0.634,270.9,1512226825,134560639391,1504394776,136092500413
sequential,10,24,2684354560,1839205488,0.736,233.5,1489473145,120495149079,1481589652,122025180452
sequential,10,26,2684354560,1561937404,0.625,275.0,1506277882,137566481485,1496833714,140067031282
sequential,10,28,2684354560,1578501304,0.631,272.1,1486591213,131781603009,1477615703,133489390599
sequential,10,30,2684354560,1547632184,0.619,277.5,1484157411,137693778037,1472140726,139911399957
random,10,2,2684354560,10890011706,4.356,39.4,1522725090,66406876019,1523687748,66161871604
random,10,4,2684354560,5526658056,2.211,77.7,1523109541,73386426986,1524138237,73112568799
random,10,6,2684354560,3762867394,1.505,114.1,1522751881,80887100049,1524117098,80534395382
random,10,8,2684354560,2899761408,1.16,148.1,1523101505,89407009833,1524006843,89097937684
random,10,10,2684354560,2401765444,0.961,178.8,1522706535,99689481656,1523030627,99512905573
random,10,12,2684354560,2109546048,0.844,203.6,1522425097,111510368428,1522153206,111367716807
random,10,14,2684354560,1906464428,0.763,225.3,1522020424,124818915511,1520740853,124692777422
random,10,16,2684354560,1797574922,0.719,238.9,1521729165,138234396590,1518761274,138305266262
random,10,18,2684354560,1755935628,0.702,244.6,1521278118,148043077089,1516860905,148495222320
random,10,20,2684354560,1745055020,0.698,246.1,1520490906,151868321288,1515327797,152656857306
random,10,22,2684354560,1733079326,0.693,247.8,1517293187,152551500785,1512314141,153658660568
random,10,24,2684354560,1718435224,0.687,249.9,1513209526,152355236487,1508196389,153679961897
random,10,26,2684354560,1699442976,0.68,252.7,1507192590,151563002000,1502087898,153113995526
random,10,28,2684354560,1688734828,0.675,254.3,1500314738,151077573814,1495078478,152590014750
random,10,30,2684354560,1670392370,0.668,257.1,1492567580,150275862939,1486108851,151457230356
