access_pattern,iter,num_threads,cachelines,duration,sec,bw,unc_m_rpq_inserts.pch0,unc_m_rpq_occupancy_pch0,unc_m_rpq_inserts.pch1,unc_m_rpq_occupancy_pch1
sequential,10,1,2684354560,21153038914,8.461,20.3,1505612764,60658639007,1505666317,60683260724
sequential,10,2,2684354560,10593037646,4.237,40.5,1504681246,63228966133,1504764464,63271644401
sequential,10,3,2684354560,7071033862,2.828,60.7,1503575022,65329209657,1503531697,65386048617
sequential,10,4,2684354560,5336108920,2.134,80.5,1502813028,67762255488,1502774519,67804137527
sequential,10,5,2684354560,4292152540,1.717,100.1,1502566566,70500163500,1502518398,70557026527
sequential,10,6,2684354560,3601258144,1.441,119.3,1502256053,73311116926,1502257868,73351704817
sequential,10,7,2684354560,3117012506,1.247,137.8,1502080914,76274181060,1502098947,76296424848
sequential,10,8,2684354560,2752274856,1.101,156.1,1502190274,79457311226,1502240812,79446570017
sequential,10,9,2684354560,2477200890,0.991,173.4,1501605023,82712840272,1501702182,82677934434
sequential,10,10,2684354560,2255554126,0.902,190.4,1501529781,86468933696,1501635142,86396660534
sequential,10,11,2684354560,2080891748,0.832,206.4,1501284320,90714325335,1501698308,90561379564
sequential,10,12,2684354560,1963375060,0.785,218.8,1500996221,96299552522,1501725386,96075131540
sequential,10,13,2684354560,1847624336,0.739,232.5,1504731697,101957783140,1505958354,101632565102
sequential,10,14,2684354560,1755266820,0.702,244.7,1500959839,108007161329,1501262553,107854075941
sequential,10,15,2684354560,1684735460,0.674,254.9,1502496724,114233191792,1498896101,114937003554
sequential,10,16,2684354560,1624488738,0.65,264.4,1502667472,120605080794,1498100428,121490301232
sequential,10,17,2684354560,1586438278,0.635,270.7,1503522047,126583606435,1496461124,127996070713
sequential,10,18,2684354560,1568016846,0.627,273.9,1504631529,131731013960,1495234040,133655982834
sequential,10,19,2684354560,1559904728,0.624,275.3,1506341624,135067342650,1495058559,137521065913
sequential,10,20,2684354560,1561777060,0.625,275.0,1507422093,137448123447,1495640380,140195369042
sequential,10,21,2684354560,1566026820,0.626,274.3,1509544527,138838780827,1497588964,141858831024
sequential,10,22,2684354560,1569958406,0.628,273.6,1510853448,139855120183,1498964933,143117127623
sequential,10,23,2684354560,1574227420,0.63,272.8,1511276252,140583828292,1499473668,144077917907
sequential,10,24,2684354560,1577336318,0.631,272.3,1511816491,141203097026,1499835723,144847123720
sequential,10,25,2684354560,1574266938,0.63,272.8,1510275604,141663813772,1498902141,145166443938
sequential,10,26,2684354560,1572971328,0.629,273.0,1508247042,141624832572,1496388074,145339075579
sequential,10,27,2684354560,1574929926,0.63,272.7,1504274777,141310812510,1492364719,145076090547
sequential,10,28,2684354560,1563249592,0.625,274.7,1498501015,140913693597,1486455341,144547555763
sequential,10,29,2684354560,1554714138,0.622,276.3,1491299679,140632368947,1478915058,144071867094
sequential,10,30,2684354560,1542617722,0.617,278.4,1482808664,139831382786,1470052872,142973610596
sequential,10,31,2684354560,1532702616,0.613,280.2,1478499297,139666480777,1465382632,142554903475
random,10,1,2684354560,21339401714,8.536,20.1,1520195366,60765099001,1520190476,60796942650
random,10,2,2684354560,10707392058,4.283,40.1,1520500000,63597850087,1520595925,63619438632
random,10,3,2684354560,7181220030,2.872,59.8,1520335701,66585645148,1520511312,66582724483
random,10,4,2684354560,5425980244,2.17,79.2,1520472408,69732429586,1520649596,69727141639
random,10,5,2684354560,4382164110,1.753,98.0,1520772726,73288421278,1520929915,73278433372
random,10,6,2684354560,3690487228,1.476,116.4,1520995048,76669162396,1521094581,76676268245
random,10,7,2684354560,3200859578,1.28,134.2,1521020794,80584609457,1521100699,80569830552
random,10,8,2684354560,2838168340,1.135,151.3,1520912772,84475423789,1520943965,84473875214
random,10,9,2684354560,2561116218,1.024,167.7,1520813258,89053872514,1520918814,89019145460
random,10,10,2684354560,2342778336,0.937,183.3,1520726062,93641814376,1520909164,93597104291
random,10,11,2684354560,2167576956,0.867,198.1,1520736685,98859588515,1520808551,98842833892
random,10,12,2684354560,2051568196,0.821,209.4,1520677545,104302213838,1520529220,104298482026
random,10,13,2684354560,1931433808,0.773,222.4,1520459898,110327315665,1520394845,110299276053
random,10,14,2684354560,1834441654,0.734,234.1,1520321652,116705177847,1520045288,116725159564
random,10,15,2684354560,1758081970,0.703,244.3,1520472453,123308470001,1519250295,123576655174
random,10,16,2684354560,1701554410,0.681,252.4,1520846931,129781083847,1517815105,130495800461
random,10,17,2684354560,1663630676,0.665,258.2,1521522425,135592779596,1516148441,136928319588
random,10,18,2684354560,1642534994,0.657,261.5,1521929398,139983800593,1514756957,141844885095
random,10,19,2684354560,1633945628,0.654,262.9,1522046109,142483772915,1513867400,144780794141
random,10,20,2684354560,1629094434,0.652,263.6,1521794741,143862260602,1513005937,146553379771
random,10,21,2684354560,1628257062,0.651,263.8,1520962365,144761127300,1512155654,147733056067
random,10,22,2684354560,1627475304,0.651,263.9,1519705811,145542483924,1510893100,148760059538
random,10,23,2684354560,1624461636,0.65,264.4,1518119681,145723910515,1509153746,149189358722
random,10,24,2684354560,1620363650,0.648,265.1,1516098799,145998437956,1506914583,149650236582
random,10,25,2684354560,1616802908,0.647,265.6,1513310684,145887137708,1504250569,149587898999
random,10,26,2684354560,1612511372,0.645,266.4,1509897575,145758324751,1500828807,149461609892
random,10,27,2684354560,1606989022,0.643,267.3,1506173044,145685576914,1496915404,149312271137
random,10,28,2684354560,1601897922,0.641,268.1,1502183977,145256742006,1492392846,148813110940
random,10,29,2684354560,1595444896,0.638,269.2,1497918737,145096878397,1487507229,148432279867
random,10,30,2684354560,1589188096,0.636,270.3,1494694837,145288594091,1483995651,148208658656
random,10,31,2684354560,1583452376,0.633,271.2,1491375051,145582067661,1480640588,148158368914
