mode,batch_size,min,max,avg,median
PREFETCH_T0,10,56,240,68,64
PREFETCH_T0,11,60,130,71,66
PREFETCH_T0,12,62,132,72,68
PREFETCH_T0,13,62,112,72,70
PREFETCH_T0,14,64,132,76,72
PREFETCH_T0,15,68,122,77,74
PREFETCH_T0,16,70,136,80,76
PREFETCH_T0,17,360,448,397,400
PREFETCH_T0,18,358,448,406,410
PREFETCH_T0,19,378,454,414,416
PREFETCH_T0,20,384,470,422,423
PREFETCH_T0,21,392,514,430,425
PREFETCH_T0,22,396,11036,543,434
PREFETCH_T0,23,400,528,451,456
PREFETCH_T0,24,404,544,454,456
PREFETCH_T0,25,414,536,457,449
PREFETCH_T0,26,414,564,468,459
PREFETCH_T0,27,422,574,479,476
PREFETCH_T0,28,414,576,480,463
PREFETCH_T0,29,430,588,491,498
PREFETCH_T0,30,424,746,503,510
