MB_Offset,Chunk_ID,Cacheline_Start,Even_Ch,Odd_Ch,Pair
0,0,0,2,0,ch2 ch0
1,64,16384,0,1,ch0 ch1
2,128,32768,2,1,ch2 ch1
3,192,49152,0,2,ch0 ch2
4,256,65536,0,1,ch0 ch1
5,320,81920,1,2,ch1 ch2
6,384,98304,0,2,ch0 ch2
7,448,114688,1,0,ch1 ch0
8,512,131072,1,2,ch1 ch2
9,576,147456,2,0,ch2 ch0
10,640,163840,1,0,ch1 ch0
11,704,180224,2,1,ch2 ch1
12,768,196608,2,0,ch2 ch0
13,832,212992,0,1,ch0 ch1
14,896,229376,2,1,ch2 ch1
15,960,245760,0,2,ch0 ch2
16,1024,262144,0,1,ch0 ch1
17,1088,278528,1,2,ch1 ch2
18,1152,294912,0,2,ch0 ch2
19,1216,311296,1,0,ch1 ch0
20,1280,327680,1,2,ch1 ch2
21,1344,344064,2,0,ch2 ch0
22,1408,360448,1,0,ch1 ch0
23,1472,376832,2,1,ch2 ch1
