run,best_mops,all_runs
"ht10 k=4",946,"929;946"
"ht3 k=4",370,"367;370"
"ht10 k=6",1682,"1682;1556"
"ht3 k=6",1223,"1220;1223"
"ht10 k=8",2197,"2164;2197"
"ht3 k=8",2006,"1955;2006"
"ht10 k=10",2331,"2015;2331"
"ht3 k=10",2200,"2142;2200"
"ht10 k=12",2138,"2138;1006"
"ht3 k=12",2013,"2009;2013"
"ht10 k=14",2069,"1736;2069"
"ht3 k=14",1916,"1916;1896"
"ht10 k=16",1931,"1895;1931"
"ht3 k=16",1910,"1910;1884"
"ht10 k=18",2042,"2042;1864"
"ht3 k=18",1947,"1826;1947"
"ht10 k=20",2033,"2033;683"
"ht3 k=20",1892,"1885;1892"
"ht10 k=22",1964,"1009;1964"
"ht3 k=22",1922,"1860;1922"
"ht10 k=24",1870,"1870;1855"
"ht3 k=24",1868,"1819;1868"
"ht10 k=26",1888,"1888;1862"
"ht3 k=26",1859,"1859;1840"
"ht10 k=28",1893,"1862;1893"
"ht3 k=28",1811,"1811;1795"
"ht10 k=30",1810,"1810;1790"
"ht3 k=30",1852,"1785;1852"
"ht10 k=32",1939,"1939;936"
"ht3 k=32",1847,"1847;1749"
